cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201511,040002,Cliente 70,81991948881,0.3987
201508,040014,Cliente 6,29089407447,0.1276
201511,040012,Cliente 120,1.43451E+11,0.4475
201501,040044,Cliente 90,32960533404,0.5517
201608,040014,Cliente 11,54763522448,0.1975
201506,040036,Cliente 100,1.3574E+11,0.8931
201501,040044,Cliente 20,16751596394,0.2804
201601,040072,Cliente 15,38983426555,0.2108
201609,040014,Cliente 190,1.49421E+11,0.5233
201606,040072,Cliente 300,1.26017E+11,0.6676
201602,040072,Cliente 100,95353138585,0.506
201604,040002,Cliente 400,1.28887E+11,0.6504
201609,040021,Cliente 130,90421501818,0.6647
201606,040044,Cliente 13,20744983541,0.2409
201608,040036,Cliente 180,1.50212E+11,0.9549
201503,040021,Cliente 12,24364498172,0.2079
201605,040021,Cliente 180,1.01998E+11,0.7486
201605,040012,Cliente 190,1.88981E+11,0.5359
201502,040044,Cliente 110,35591826537,0.593
201507,040072,Cliente 19,38420148736,0.224
201601,040044,Cliente 8,18973180221,0.2292
201608,040036,Cliente 20,92350433870,0.5871
201602,040036,Cliente 110,1.47902E+11,0.9197
201512,040044,Cliente 1000,77062091843,0.9889
201502,040021,Cliente 130,85594871436,0.6857
201603,040072,Cliente 140,1.02956E+11,0.5523
201502,040044,Cliente 90,32876623983,0.5478
201612,040021,Cliente 9,21903263905,0.1568
201505,040012,Cliente 15,57979133184,0.1935
201610,040012,Cliente 8,37464258432,0.103
201607,040021,Cliente 9,20175209509,0.1518
201502,040044,Cliente 8,10291371047,0.1715
201509,040044,Cliente 80,41600725120,0.5522
201504,040014,Cliente 1000,1.66086E+11,0.7172
201501,040072,Cliente 130,85550056226,0.4984
201607,040002,Cliente 12,33730900732,0.151
201502,040014,Cliente 90,82104599627,0.3792
201503,040002,Cliente 60,67056954471,0.3696
201505,040021,Cliente 160,84731111959,0.721
201612,040044,Cliente 12,23619879778,0.2439
201611,040012,Cliente 150,1.86043E+11,0.4784
201505,040044,Cliente 30,21407604788,0.3443
201507,040021,Cliente 80,66466844887,0.5618
201605,040044,Cliente 180,59183248212,0.7019
201503,040002,Cliente 110,85117510851,0.4691
201502,040002,Cliente 17,30220041714,0.1759
201607,040014,Cliente 2,12686996876,0.0471
201611,040014,Cliente 130,1.31656E+11,0.4621
201501,040014,Cliente 60,72459488383,0.3294
201608,040036,Cliente 8,54220054079,0.3447
201608,040072,Cliente 500,1.3602E+11,0.7203
201512,040014,Cliente 15,46147957049,0.1833
201601,040002,Cliente 100,99479186420,0.459
201607,040044,Cliente 11,19351136891,0.2192
201512,040044,Cliente 100,46344295385,0.5947
201611,040012,Cliente 20,70361093291,0.1809
201608,040014,Cliente 190,1.46549E+11,0.5284
201505,040014,Cliente 200,1.17498E+11,0.5033
201607,040012,Cliente 8,42211628890,0.1147
201611,040044,Cliente 140,63114582750,0.6533
201509,040021,Cliente 180,89833443553,0.7432
201605,040014,Cliente 2,12624656954,0.052
201606,040002,Cliente 200,1.1466E+11,0.5393
201510,040014,Cliente 180,1.10784E+11,0.4658
201511,040044,Cliente 20,24572448127,0.3248
201609,040014,Cliente 18,67596709736,0.2367
201601,040014,Cliente 13,47192750988,0.1854
201606,040044,Cliente 200,61854366355,0.7182
201505,040044,Cliente 4,7787536934,0.1252
201601,040012,Cliente 1000,2.618E+11,0.7707
