cve_institucion,cve_periodo,cve_concepto,dato
040002,201501,1,6507
040002,201501,2,5966
040002,201501,3,6.3165
040002,201501,4,2.1773
040002,201501,5,9.9075
040002,201501,6,26
040002,201501,7,15656888727
040002,201502,1,5554
040002,201502,2,5235
040002,201502,3,6.4429
040002,201502,4,2.1498
040002,201502,5,9.9037
040002,201502,6,13
040002,201502,7,12476620632
040002,201503,1,6425
040002,201503,2,5853
040002,201503,3,5.5872
040002,201503,4,1.9249
040002,201503,5,10
040002,201503,6,20
040002,201503,7,23243256995
040002,201504,1,5897
040002,201504,2,5386
040002,201504,3,6.2318
040002,201504,4,1.9539
040002,201504,5,10
040002,201504,6,22
040002,201504,7,13212510617
040002,201505,1,6248
040002,201505,2,5681
040002,201505,3,6.0938
040002,201505,4,1.8712
040002,201505,6,21
040002,201505,7,16048010579
040002,201506,1,5964
040002,201506,2,5339
040002,201506,3,5.9961
040002,201506,4,1.9077
040002,201506,6,23
040002,201506,7,18670148887
040002,201507,1,6400
040002,201507,2,5719
040002,201507,3,6.9069
040002,201507,4,2.1433
040002,201507,6,24
040002,201507,7,16811300353
040002,201508,1,5916
040002,201508,2,5278
040002,201508,3,6.0809
040002,201508,4,2.1577
040002,201508,5,10
040002,201508,6,25
040002,201508,7,19699616087
040002,201509,1,6732
040002,201509,2,6106
040002,201509,3,5.6417
040002,201509,4,1.8862
040002,201509,5,10
040002,201509,6,19
040002,201509,7,24121147698
040002,201510,1,6589
040002,201510,2,5850
040002,201510,3,6.2946
040002,201510,4,1.0322
040002,201510,5,9.5665
040002,201510,6,16
040002,201510,7,29260379655
040002,201511,1,4795
040002,201511,2,4124
040002,201511,3,5.8239
040002,201511,4,1.6103
040002,201511,5,7.3134
040002,201511,6,18
040002,201511,7,19288219559
040002,201512,1,4845
040002,201512,2,4092
040002,201512,3,5.7595
040002,201512,4,2.0336
040002,201512,5,10
040002,201512,6,26
040002,201512,7,28846502624
040002,201601,1,4006
040002,201601,2,3410
040002,201601,3,5.7888
040002,201601,4,2.0489
040002,201601,5,10
040002,201601,6,24
040002,201601,7,16275144416
040002,201602,1,5272
040002,201602,2,4075
040002,201602,3,6.654
040002,201602,4,2.6581
040002,201602,5,10
040002,201602,6,22
040002,201602,7,18577316114
040002,201603,1,4049
040002,201603,2,3717
040002,201603,3,6.2874
040002,201603,4,2.9768
040002,201603,5,10
040002,201603,6,19
040002,201603,7,20267395864
040002,201604,1,5569
040002,201604,2,4248
040002,201604,3,6.3456
040002,201604,4,2.4727
040002,201604,5,10
040002,201604,6,18
040002,201604,7,13926866769
040002,201605,1,4798
040002,201605,2,4137
040002,201605,3,6.421
040002,201605,4,2.7631
040002,201605,6,30
040002,201605,7,22064550082
040002,201606,1,6692
040002,201606,2,5057
040002,201606,3,6.3617
040002,201606,4,2.6284
040002,201606,6,25
040002,201606,7,28308055575
040002,201607,1,4348
040002,201607,2,3761
040002,201607,3,6.4843
040002,201607,4,2.6874
040002,201607,5,10
040002,201607,6,29
040002,201607,7,29953126032
040002,201608,1,9434
040002,201608,2,7164
040002,201608,3,6.6903
040002,201608,4,2.5535
040002,201608,5,10
040002,201608,6,25
040002,201608,7,44462290291
040002,201609,1,7055
040002,201609,2,5472
040002,201609,3,7.0187
040002,201609,4,2.7323
040002,201609,5,10
040002,201609,6,31
040002,201609,7,26771438025
040002,201610,1,4798
040002,201610,2,4410
040002,201610,3,7.3604
040002,201610,4,2.6829
040002,201610,6,24
040002,201610,7,24843009708
040002,201611,1,7353
040002,201611,2,5356
040002,201611,3,7.7951
040002,201611,4,2.7767
040002,201611,5,10
040002,201611,6,32
040002,201611,7,32959009467
040002,201612,1,4872
040002,201612,2,4133
040002,201612,3,7.8088
040002,201612,4,2.7096
040002,201612,6,26
040002,201612,7,31021967162
040012,201501,1,65037
040012,201501,2,3881
040012,201501,3,6.1036
040012,201501,4,1.6656
040012,201501,6,12
040012,201501,7,32687593317
040012,201502,1,63268
040012,201502,2,3944
040012,201502,3,6.0037
040012,201502,4,1.5293
040012,201502,6,11
040012,201502,7,37340310965
040012,201503,1,75823
040012,201503,2,4136
040012,201503,3,5.6612
040012,201503,4,2.0253
040012,201503,6,17
040012,201503,7,49837044086
040012,201504,1,70356
040012,201504,2,3745
040012,201504,3,5.7256
040012,201504,4,1.761
040012,201504,6,14
040012,201504,7,42033316632
040012,201505,1,73241
040012,201505,2,3952
040012,201505,3,6.186
040012,201505,4,2.0151
040012,201505,6,17
040012,201505,7,37611996620
040012,201506,1,77195
040012,201506,2,4318
040012,201506,3,6.2735
040012,201506,4,2.2095
040012,201506,6,21
040012,201506,7,42704160476
040012,201507,1,70903
