cve_institucion,cve_periodo,id,cve_tipo_moneda,tasa
040044,201512,12,1,2.231898
040002,201512,2,0,6.736809
040012,201512,12,1,2.434318
040021,201512,10,0,15.360985
040072,201512,5,1,4.313676
040002,201612,11,1,2.804779
040012,201612,11,0,9.76847
040002,201512,10,1,2.158767
040002,201612,8,0,7.775103
040072,201612,3,0,8.264662
040012,201512,5,1,3.629035
040021,201612,12,0,18.538726
040002,201612,3,0,7.889457
040036,201612,8,1,7.16
040002,201512,5,1,1.850333
040002,201512,9,0,6.364276
040072,201512,9,0,9.066324
040012,201612,14,1,3.460138
040036,201512,13,0,9.765924
040036,201512,9,1,5.313887
040014,201612,1,1,2.262929
040014,201512,8,1,2.955059
040021,201612,5,0,8.017101
040002,201612,4,1,3.057342
040012,201612,7,1,5.777837
040036,201512,1,0,6.905509
040012,201512,4,0,6.078567
040072,201612,10,0,9.410031
040072,201512,12,1,3.346482
040014,201612,12,0,11.87459
040014,201512,12,0,8.270337
040044,201512,9,0,6.921898
040014,201512,7,0,6.384802
040072,201512,4,0,6.923895
040021,201612,7,0,10.760378
040012,201612,6,0,8.415335
040012,201512,14,1,3.395633
040002,201512,14,0,5.28543
040012,201512,11,0,10.841769
040014,201612,3,1,2.679401
040036,201612,12,0,9.645241
040044,201612,11,1,4.006042
040044,201612,13,1,3.354424
040044,201612,10,0,9.093818
040002,201612,6,1,1.433114
040036,201512,11,1,5.341731
040036,201612,5,0,8.573831
040002,201612,10,0,10.13316
040012,201612,1,0,7.170365
040012,201612,9,1,4.46
040012,201512,7,1,3.890229
040014,201612,14,0,9.180042
040072,201612,8,0,12.425736
040014,201612,8,1,4.75
040012,201612,2,1,2.263468
040014,201512,10,1,2.897813
040014,201612,10,1,4.402765
040036,201612,7,0,7.747656
040021,201512,11,1,4.128317
040044,201512,13,0,6.573559
040012,201512,13,0,6.646169
040014,201512,5,1,4.292837
040072,201512,7,1,4.010949
040072,201612,12,0,9.098637
040036,201612,4,0,9.364441
040002,201512,6,0,4.722104
040014,201612,7,0,8.825983
040036,201512,4,0,5.325339
040072,201512,8,1,3.92
040072,201512,12,0,7.611068
040012,201512,1,0,4.984427
040012,201612,13,0,8.557608
040002,201612,5,0,8.277797
040072,201612,8,1,0
040002,201612,1,1,15.74
040014,201612,5,1,5.450318
