cve_institucion,cve_periodo,id,cve_tipo_moneda,monto_dispuesto,creditos
040002,201512,2,0,37840468,7
040012,201512,12,1,3762372340,10
040072,201512,5,1,14058182,6
040002,201512,5,1,15758560,23
040021,201612,5,0,938076,6
040021,201612,12,0,25045311,483
040002,201612,3,0,244835818,16
040036,201612,8,1,21838712,2
040021,201512,10,0,185342,2
040072,201612,3,0,3110313305,244
040072,201612,10,0,3070060329,2470
040012,201612,7,1,70415667,22
040036,201512,1,0,70793060,4
040036,201612,3,1,2798772,2
040012,201512,4,0,1150905358,5771
040044,201512,12,1,673714031,76
040002,201612,8,0,3916165412,290
040002,201512,10,1,560297484,15
040012,201512,5,1,310944273,166
040002,201612,4,1,39562058,54
040036,201512,2,1,768789,2
040012,201612,11,0,237420359,337
040014,201612,1,1,1313881675,21
040044,201612,10,0,135367111,31
040002,201612,11,1,1592077727,38
040044,201612,11,1,24190663,11
040036,201512,13,0,196819428,21
040036,201512,9,1,252664427,14
040044,201612,13,1,1658982,4
040014,201612,3,1,1967091156,99
040014,201512,8,1,1230604040,24
040021,201612,7,0,205062,14
040012,201612,6,0,9041641263,11872
040012,201512,14,1,428821418,4
040014,201512,12,0,236116012,69
040014,201512,7,0,1414199582,300
040036,201612,12,0,400990000,11
040072,201512,9,0,443293691,548
040012,201612,14,1,8316497,7
040044,201512,9,0,84600000,5
040012,201512,11,0,1574694661,1271
040072,201512,12,1,430143757,46
040014,201612,12,0,639928953,161
040012,201512,7,1,234589859,15
040014,201612,14,0,8857212602,1488
040072,201612,8,0,37549324,72
040002,201512,14,0,118008385,5
040036,201512,11,1,30719435,28
040072,201512,4,0,159470222,28
040002,201512,9,0,937534756,102
040012,201512,13,0,1031742839,94
040044,201512,7,1,1724060,1
040021,201512,8,0,21444,3
040072,201612,1,0,1761998753,78
040014,201612,10,1,311355771,12
040072,201612,8,1,0,1
040002,201612,1,1,31433951,25
040072,201512,7,0,2282539450,1622
040021,201512,4,1,37877,1
040014,201612,7,0,604413687,121
040036,201512,4,0,133000000,4
040014,201512,10,1,172991263,72
040002,201612,6,1,74740473,25
040044,201612,2,1,20619400,1
040036,201612,14,0,84711336,8
040002,201512,6,0,423246509,18
040072,201512,2,0,309571503,57
040044,201512,11,0,67483748,6
040036,201612,7,0,755948555,64
040021,201512,11,1,733226,5
040014,201612,2,0,711088374,53
040044,201512,13,0,1522205566,6
040014,201612,8,1,20619400,1
040012,201612,2,1,1913976202,474
040014,201512,2,0,1347139142,68
040002,201612,13,1,786112755,97
040021,201612,4,0,0,1
040002,201512,12,1,2370509961,82
040002,201612,12,0,356877715,67
040044,201512,8,0,32515033,3
040014,201512,3,1,1434212711,492
040014,201512,4,0,344424952,60
040036,201612,5,0,4180000,7
040012,201612,4,1,303601012,280
040036,201512,4,1,202879,7
040014,201612,9,0,213229216,39
040072,201512,11,0,5273178226,461
040014,201512,5,1,156095796,223
040014,201612,12,1,1761919547,14
040002,201512,3,1,45115078,68
040021,201512,7,0,5207,1
040036,201612,10,1,515485000,1
040044,201612,9,1,8258962,2
040072,201512,7,1,107644724,27
040072,201612,12,0,696214485,330
040072,201512,8,1,70329531,1
040002,201512,11,0,856374171,134
040002,201612,14,0,50000000,1
040012,201612,1,0,11510539915,15530
040014,201512,9,0,353163346,55
040002,201512,7,1,3182407319,52
040036,201612,9,0,120399274,7
040072,201512,12,0,809658308,307
040021,201512,14,0,7856,1
040044,201612,14,1,1168473030,97
040012,201512,1,0,6475651705,13777
040036,201512,12,1,103063542,36
040012,201612,9,1,163511842,2
040014,201512,14,0,7502112910,1965
040014,201612,11,0,306551465,140
040072,201612,12,1,169684589,1
040072,201512,6,1,50546492,11
040002,201612,10,0,2914016918,1410
040036,201512,8,0,360983240,9
040002,201512,7,0,2978502366,1901
040044,201512,10,0,289270029,10
040036,201612,4,0,1754404,15
040072,201612,13,1,337584549,2
040012,201512,4,1,688998368,201
040014,201512,12,1,3362856983,67
040002,201612,8,1,1281497558,67
040014,201612,5,1,194105377,23
040044,201512,14,1,1434399187,97
040012,201612,13,0,1766432586,83
040002,201612,5,0,38844443,15
040036,201512,5,1,3898449,2
040012,201512,2,1,956248028,941
040036,201612,1,0,187471594,5
040036,201612,9,1,78893127,3
040012,201612,5,0,1541398544,3044
040072,201512,3,1,2238953156,62
040014,201512,9,1,791053391,28
040012,201612,6,1,1073624876,216
040014,201512,6,0,2584917184,407
040014,201612,13,0,2648848861,18
040021,201512,11,0,867607,115
040002,201512,4,1,104560275,32
040012,201512,10,0,695990891,354
040072,201612,7,0,3133072286,2068
040021,201612,9,1,8442805218,1068
040012,201612,9,0,540649374,189
040021,201512,9,1,8332855319,3121
040036,201512,6,0,239431719,55
040072,201612,9,0,654903731,629
040002,201612,2,0,156667542,16
040072,201512,1,1,973988790,42
040036,201612,11,0,95300000,3
040021,201612,13,0,594417697,4900
040036,201512,8,1,470215254,18
040002,201512,3,0,23512199,6
040002,201512,11,1,117370939,47
040002,201512,13,0,2621009472,58
040044,201512,7,0,295198246,3
040072,201512,10,1,19915402,15
040072,201512,14,0,1623148769,13
040021,201512,10,1,427037,1
040002,201512,1,1,20935000,23
040002,201512,8,0,3004400176,265
040072,201512,14,1,976661892,4
040072,201612,14,1,115468640,2
040044,201612,7,1,262278,2
040002,201612,3,1,471954892,66
040002,201612,7,0,7713148121,1899
040012,201512,3,0,3436507486,21888
040036,201512,9,0,2824304387,16
040014,201612,2,1,777001348,36
040072,201612,5,1,30929100,3
040072,201512,5,0,252859144,56
040044,201612,11,0,3509345376,7
040002,201512,2,1,46233132,65
040036,201612,10,0,174634195,19
040036,201612,13,0,139897807,6
040021,201612,11,0,1125140,146
040044,201612,7,0,94271071,4
040014,201512,10,0,2483449264,1749
040002,201512,12,0,275947179,31
040012,201612,3,1,1986964558,1457
040012,201612,11,1,190881175,5
040002,201512,4,0,90927481,14
040072,201612,6,1,79040120,7
