cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201605,040044,5,0,1731225991
201603,040002,5,4,3
201607,040014,2,3,21109
201504,040014,4,2,5815283100
201502,040036,1,2,174492729
201507,5,5,3,761
201611,040014,4,0,2.07787E+11
201510,040012,2,1,24238511398
201507,040021,1,0,4561928703
201608,040014,2,4,12929
201502,5,1,4,243316
201611,040044,2,3,730
201606,040021,2,3,24435
201603,040021,1,1,4299218448
201603,040014,4,0,1.66867E+11
201612,040036,2,4,1807
201608,040036,4,1,99824396847
201601,040072,1,0,11479529828
201510,040012,5,1,3314416433
201612,040072,1,1,12508154269
201605,040072,5,4,22
201602,040014,3,1,11471319466
201506,5,1,2,5656201397
201504,040044,2,4,382
201611,040012,4,0,3.07996E+11
201603,040021,5,3,42
201511,040036,5,2,319898
201609,040021,5,4,10
201504,040072,5,3,71
201507,040021,5,3,61
201605,040036,3,2,192505509
201603,5,5,1,75766897842
201511,040036,4,0,93150738501
201512,040021,2,2,471054695
201512,040036,3,2,160616468
201605,040012,4,1,2.76417E+11
201604,040044,1,0,1743918479
201501,040014,4,3,8958
201610,040014,2,3,22026
201605,040072,5,1,6312929792
201607,040012,4,0,2.93148E+11
201507,040002,4,3,3790
201509,040036,3,4,180
201502,040002,3,0,8861163190
201608,040021,4,4,908
201610,040021,3,2,261097412
201502,040002,3,4,1023
201612,040012,3,0,12672115631
201611,040021,5,0,1936750138
201601,040002,3,4,978
201505,040036,1,4,3506
201507,040036,2,0,2352955186
201602,040014,1,3,55783
201505,040002,4,1,1.4163E+11
201504,040002,1,3,12210
201507,040044,4,2,966698271
201509,040014,4,0,1.6907E+11
201611,040036,1,0,1597423476
201509,040012,3,4,1571
201502,040036,2,1,1962700582
201604,040044,2,2,561052909
201612,040012,5,3,36
201504,040021,4,0,99426060505
201611,040014,3,0,11201675845
201606,5,4,3,365018
201612,040002,1,4,11399
201607,5,5,4,101
201510,040072,4,0,1.18016E+11
201605,5,3,1,65297140712
201511,040002,2,2,393916378
201606,5,1,0,1.69987E+11
201508,040002,5,0,399158033
201610,040002,5,0,988813508
201609,040036,4,3,1576
201612,040021,1,4,15925
201511,040021,2,3,25843
201503,040072,3,3,2943
201510,040012,3,0,13317202740
201601,040021,5,4,11
201606,040036,2,0,2257104162
201612,040072,5,0,8246492359
201611,040072,3,0,7261240541
201603,5,1,3,435773
201608,040002,3,0,8847427031
201601,040044,1,4,185
201610,040021,2,3,21866
201603,040044,3,1,3480199313
201512,040014,3,1,11257396084
201510,040044,2,2,503390258
201509,040044,3,1,3204902180
