cve_periodo,cve_institucion,cve_TEC,creditos,acreditados,monto_dispuesto
201512,040002,1,874,848,848258323
201512,040002,2,2830,2672,2573553558
201512,040002,3,230,169,853636083
201512,040002,4,907,400,23632919758
201512,040002,5,4,3,938134902
201512,040012,1,5390,1892,3499026875
201512,040012,2,4364,910,2921051725
201512,040012,3,4693,459,2705990912
201512,040012,4,70140,766,42292610155
201512,040012,5,2,2,449026277
201512,040014,1,2803,2469,3629122571
201512,040014,2,1544,1151,2758543942
201512,040014,3,879,443,2203109460
201512,040014,4,2325,777,34900852777
201512,040014,5,69,6,179428134
201512,040021,1,3979,3002,591177823
201512,040021,2,2929,1735,945522543
201512,040021,3,1590,151,846411969
201512,040021,4,32241,373,18008413533
201512,040021,5,10,3,50967064
201512,040036,1,44,21,42485170
201512,040036,2,85,40,357637939
201512,040036,3,44,20,90501394
201512,040036,4,367,100,17842175641
201512,040036,5,47,6,774142985
201512,040044,1,61,58,197758053
201512,040044,2,153,141,606335430
201512,040044,3,127,104,813981043
201512,040044,4,348,275,8952878425
201512,040044,5,2,2,31336946
201512,040072,1,2295,2127,1363049455
201512,040072,2,2957,2612,3054560745
201512,040072,3,374,257,1322975190
201512,040072,4,651,318,21266240176
201512,040072,5,2,2,69246357
201512,5,1,31273,18343,14407161871
201512,5,2,25512,12551,21496806915
201512,5,3,9951,1772,12508877339
201512,5,4,115667,2652,1.95711E+11
201512,5,5,142,28,3285368007
201612,040002,1,903,879,1191103560
201612,040002,2,2787,2634,3303152094
201612,040002,3,218,168,906752862
201612,040002,4,960,451,25615545265
201612,040002,5,4,1,5413381
201612,040012,1,5606,1522,3040721810
201612,040012,2,4684,890,2864018059
201612,040012,3,4508,416,2621245940
201612,040012,4,75130,846,43680408025
201612,040012,5,2,2,137885258
201612,040014,1,1533,1414,2669363986
201612,040014,2,949,804,3424629171
201612,040014,3,416,296,1689342412
201612,040014,4,1218,629,32999949989
201612,040014,5,26,4,262423939
201612,040021,1,4596,3879,550350950
201612,040021,2,2974,2111,1102574655
201612,040021,3,1051,122,650635225
201612,040021,4,24993,376,21925206594
201612,040036,1,15,14,54125000
201612,040036,2,20,15,152066120
201612,040036,3,21,10,53977112
201612,040036,4,143,57,3764908345
201612,040036,5,6,1,21855622
201612,040044,1,160,147,349008916
201612,040044,2,205,188,630940958
201612,040044,3,114,99,749698808
201612,040044,4,333,268,11155849300
201612,040044,5,1,1,207800
201612,040072,1,6306,5865,1299903223
201612,040072,2,7009,6022,3507044667
201612,040072,3,603,463,1282032695
201612,040072,4,812,460,22122126240
201612,040072,5,3,2,24619400
201612,5,1,37738,21412,14164976248
201612,5,2,29147,15649,23766688146
201612,5,3,8865,1759,11629158648
201612,5,4,111463,2789,1.96804E+11
201612,5,5,47,12,720139296
