cve_periodo,cve_institucion,cve_tipo_moneda,cve_TEC,tasa,MDMC,plazo
201512,040014,0,5,6.5285,23532801,143.5329
201512,040014,1,4,2.8014,12232696840,33.5969
201612,5,0,1,11.2759,13391194641,26.248
201512,040044,0,2,6.0461,538256568,43.4121
201512,040044,1,1,4.0123,41385326,54.6062
201512,040036,1,5,5.0164,308666198,133.6649
201512,5,1,2,4.6079,1634732218,18.6059
201512,5,0,3,7.0642,10940192069,15.0175
201512,040021,1,2,4.5188,112623914,23.7157
201512,040021,0,3,7.1823,648661945,26.7395
201512,040012,0,1,9.0251,3313142440,22.1307
201612,040044,1,5,4.1,207800,
201612,040014,1,5,3.3774,252707513,33.1069
201512,040002,1,4,2.0091,12298980649,35.5455
201612,040044,1,2,4.6497,30503204,22.5367
201612,040044,0,3,8.927,720309864,32.2389
201512,040072,0,3,7.2047,1249203118,9.3564
201512,040072,1,2,3.9213,173686490,5.1471
201612,5,0,3,9.3616,10576444105,14.2911
201612,5,1,2,5.0766,1784525461,19.9377
201512,040044,0,1,7.0272,156372727,44.402
201612,040014,1,4,3.2143,7447686601,19.0688
201612,040014,0,5,9.1,9716426,153
201612,040012,0,2,9.8439,2604291037,13.8386
201612,040012,1,1,5.1171,205895990,5.1361
201512,040072,0,5,5.83,54965450,3
201512,040072,1,4,3.8364,5334218464,45.3668
201612,040002,1,5,3.49,5413381,48
201612,040002,2,4,,254731,
201512,5,0,4,5.6165,1.26895E+11,28.161
201512,5,2,2,10,275,45
201512,5,1,3,4.131,1568685270,7.9854
201512,040021,0,1,12.8045,580212824,47.8399
201612,5,2,4,,254731,
201612,5,1,5,5.3414,517660311,19.7216
201512,040072,1,5,4.19,14280907,33
201612,040072,0,5,8.34,4000000,3
201612,040072,1,4,3.9991,5801876346,13.9736
201612,040002,0,3,8.4237,821997169,18.3143
201612,040002,1,2,4.2194,243583193,24.4432
201512,040036,0,2,7.6171,236364062,32.8598
201512,040036,1,1,4.4306,613799,6.1914
201612,040021,0,3,9.4195,570041390,26.7592
201612,040021,1,2,5.1736,70755270,24
201512,040021,1,5,3.8527,23031662,18.4188
201612,040014,1,2,5.9114,531140037,14.3108
201612,040014,0,3,9.3894,1482138188,21.7508
201612,040012,0,5,8.6871,137885258,28.357
201612,040012,1,4,2.9445,11638113944,13.4691
201612,040002,1,4,2.9344,7743739680,31.623
201512,040014,1,5,2.9639,155895333,29.6842
201612,040036,0,3,11.1888,53977112,29.5585
201512,040021,1,3,4.2036,197750024,23.8733
201512,040021,0,4,5.889,9976398199,24.0072
201512,040002,0,4,4.9648,11333787949,30.1673
201512,040002,1,3,3.2196,144307528,14.2063
201512,040002,2,2,10,275,45
201512,040021,1,1,5.5116,10964999,22.8966
201512,040021,0,2,11.13,832898629,42.1902
201512,040072,0,1,10.0396,1352308516,23.1334
201612,040072,0,1,12.6111,1295366955,29.6818
201512,5,1,1,5.0475,778132253,9.7142
201512,5,0,5,5.9157,1388575056,116.2326
201512,5,0,2,8.6261,19862074422,23.0063
201512,5,1,4,2.8253,68815478555,33.1444
201612,040036,0,4,8.5987,2793445162,27.6806
201512,040044,1,2,4.0256,68078862,57.1184
201512,040044,0,3,5.8405,749186508,41.879
201512,040036,0,1,10.2345,41871371,68.4607
201612,040021,1,3,4.364,80593835,24
201612,040021,0,4,8.535,13634974902,24.1115
201512,040002,1,2,3.8215,145297646,26.3549
201512,040002,0,3,6.5259,709328555,22.0705
201612,040014,0,1,11.9757,2517379771,30.5565
201612,040002,0,1,10.5154,1160847284,25.4777
201612,040012,0,3,9.0656,2247149802,6.7967
201612,040012,1,2,4.751,259727022,11.7173
201512,040072,0,2,9.4471,2880874255,20.1446
201612,040044,0,1,8.8404,341950539,67.7547
201512,040021,1,4,3.0412,8032015334,23.6912
201512,040072,1,1,5.5438,10740939,16.509
201512,040021,0,5,7.9221,27935402,24
201512,040002,0,2,9.7634,2428255637,32.117
201512,040002,1,1,4.384,63802516,16.9149
201512,040036,0,4,5.7372,10847438004,22.2369
201512,040036,1,3,3.1006,5871535,14.3792
201512,040012,0,3,6.8505,2387248358,9.3928
201512,040014,0,1,9.673,3356488424,31.4173
201512,040012,1,2,4.2628,238503212,6.5381
201612,040012,0,1,11.0733,2834825820,21.3088
201512,040014,1,2,5.484,335914955,7.8912
201512,040012,1,4,2.3888,15831732318,26.5784
201512,040012,0,5,6.32,1231226,17
201512,040014,0,3,7.0455,1702205605,23.4022
201512,040044,0,4,5.6561,6991277816,67.1824
201512,040072,1,3,4.1931,73772072,3.0415
201512,040072,0,4,5.5457,15932021712,64.2576
201612,040002,0,2,10.9608,3059568901,27.8859
201612,040002,1,1,3.0368,30256276,14.6489
201612,040014,1,3,4.9951,207204224,7.6278
201512,040044,0,5,5.618,31336946,59
201612,040014,0,4,7.8604,25552263388,21.433
201512,040044,1,4,2.626,1961600609,53.2378
201512,040044,1,3,3.7724,64794535,38.372
201512,040036,0,3,8.1489,84629859,27.2699
201512,040036,1,2,5.2216,121273877,95.4539
