cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201512,040072,18,3,14,4,15758000
201512,040036,15,2,4,2,10500000
201512,040044,4,3,2,1,17000000
201612,040002,22,3,10,6,17201448
201512,040072,17,4,3,3,14956913
201612,040002,23,2,34,34,27636224
201612,040012,27,3,14,7,25431078
201612,040012,28,2,43,18,37562204
201512,040072,25,2,136,106,117235232
201612,040021,26,2,75,71,19451322
201512,040072,23,4,17,7,715315260
201512,040036,14,3,2,1,654458
201612,040002,27,4,3,2,55539540
201512,040044,8,2,7,7,21080393
201612,040044,1,4,10,6,188166458
201512,040021,3,1,15,15,439190
201512,040012,26,2,71,28,65240377
201612,040044,4,1,1,1,136452
201512,040002,5,2,67,64,43101728
201512,040012,2,3,47,9,67016010
201512,040014,23,3,14,8,7288295
201512,040072,29,1,11,9,1987253
201612,040044,3,2,1,1,450000
201512,040002,6,1,3,3,1212169
201512,040012,25,3,93,17,62621460
201512,040014,22,4,33,10,854267815
201512,040072,28,2,95,79,118576859
201512,040044,9,3,22,20,119382172
201612,040002,26,1,25,24,44965645
201512,040036,30,3,3,1,3000000
201512,040044,10,2,2,2,12310000
201612,040021,28,1,139,124,5614546
201612,040021,26,3,20,6,28956956
201512,040002,3,2,17,17,7203870
201512,040021,24,1,85,48,15497487
201512,5,11,1,2209,961,751566264
201512,5,9,3,3126,427,3041596707
201512,040044,30,4,22,15,281026452
201512,040002,11,4,58,24,1269784032
201612,040021,30,3,1,1,791250
201612,5,13,4,103,15,1381995566
201512,040021,28,3,12,1,112113
201612,040021,32,1,24,18,1149263
201512,040072,12,1,27,23,13316167
201512,5,8,4,5215,82,2697076890
201512,040002,13,2,36,34,25976422
201512,040014,27,2,13,10,48102672
201612,040072,18,4,7,3,6527118
201612,5,999,3,1,1,13120
201612,040036,8,1,1,1,500000
201512,040002,1,3,1,1,2618925
201512,040021,6,1,62,38,6884075
201512,040012,1,1,53,24,27264216
201612,040044,6,2,1,1,270000
201512,5,14,3,885,167,941736831
201612,040072,21,1,108,103,67925818
201512,040014,28,1,93,92,69362702
201512,040021,4,3,11,1,1310134
201612,040072,19,3,91,77,229311276
201512,5,12,5,1,1,6013625
201612,040002,26,2,70,64,93112901
201512,040044,14,2,13,12,73824914
201512,040014,26,3,23,14,98594076
201512,040012,28,3,191,16,76630111
201512,5,16,1,1085,588,461279855
201612,040036,30,2,1,1,818340
201612,040002,25,3,8,7,81799498
201612,040002,21,2,108,103,149109811
201512,040014,1,4,21,6,43779150
201512,040012,9,1,1620,485,1205603605
201512,040014,3,2,8,8,9411014
201512,040014,5,3,13,10,65658240
201512,040014,2,3,16,12,76942417
201512,040044,13,2,1,1,1520901
201612,040002,22,1,23,23,23391097
201612,040002,20,3,1,1,3038676
201612,040021,19,1,474,210,38049168
201512,040021,13,2,18,11,4874297
201512,040044,12,3,1,1,3750000
201612,040021,16,4,5943,10,194680294
201612,040002,19,4,81,55,8473887412
201612,040002,16,1,28,26,50917639
201512,040044,15,3,6,6,71833459
201512,040044,13,5,1,1,1336946
201512,040012,3,4,11,7,196902875
201612,040002,15,2,376,359,386401122
