cve_periodo,cve_institucion,cve_tipo_moneda,cve_TEC,tasa,responsabilidad,plazo
201512,040021,1,5,3.5867,1233497202,14.8503
201610,040021,0,3,8.7974,2719825007,21.6167
201610,040021,1,2,4.945,399177235,15.1571
201512,040072,0,3,7.8673,7548953895,20.3494
201512,040072,1,2,4.8486,819512647,30.8816
201610,040072,0,3,9.2981,7119699509,21.0308
201610,040072,1,2,5.0902,713035471,30.075
201610,040072,1,5,5.5091,1417583160,9.5295
201512,040014,0,2,9.307,30631542827,25.412
201512,040014,1,1,5.6067,1100580176,9.1228
201512,040012,1,3,4.2745,1645209125,12.6199
201512,040012,0,4,5.7682,1.33261E+11,40.4948
201512,040021,0,1,16.6625,4677281773,45.9539
201610,040002,1,1,3.5911,290067976,11.2222
201610,040002,0,2,11.2137,33468486062,23.0209
201610,040036,1,2,5.8962,188516475,53.1129
201610,040036,0,3,10.5115,777641036,54.7317
201610,040072,0,5,7.2595,6171333212,68.2382
201610,040072,1,4,4.1209,32685258963,64.4006
201610,5,1,3,4.5894,5703168633,15.3196
201610,5,2,2,10,353423,15.7979
201610,5,0,4,7.412,9.21246E+11,47.1766
201610,5,0,1,11.6751,1.73803E+11,30.9638
201512,040012,0,3,7.2146,11486211844,15.4872
201512,040014,0,1,10.1277,41787013153,26.1681
201512,040012,1,2,4.6414,1157516109,21.619
201512,040044,0,4,5.3657,51519293247,40.556
201512,040044,1,3,4.0901,296032003,38.0841
201610,040002,2,4,,40035648,0
201610,040002,1,5,3.4,988813508,50
201610,5,0,5,7.2064,61107811544,170.7866
201610,5,1,4,3.7753,4.35345E+11,51.226
201512,040002,0,4,5.2285,96805418743,28.7666
201512,040002,1,3,3.2858,1025103172,17.4827
201512,040002,2,2,9.9771,373484,20.1088
201610,040021,0,4,7.1461,85547497691,24.1389
201610,040021,1,3,4.2703,454987323,16.6738
201610,040036,1,4,5.2107,69263769471,60.5829
201610,040036,0,5,6.8774,39145867353,202.5648
201512,040021,1,3,4.0373,570684294,22.6896
201512,040021,0,4,5.8144,77850390533,30.8101
201610,040014,1,1,5.7735,1014800215,8.78
201512,040036,0,1,12.9874,1444955495,50.8987
201610,040012,0,1,11.9529,66784070450,28.1045
201512,040044,1,2,3.9684,424537911,33.0328
201512,040044,0,3,6.228,3281235675,33.8704
201610,5,1,2,5.0844,7717794257,23.6831
201610,5,2,1,9.2814,8161232,59.9977
201610,5,0,3,8.8176,63101437573,21.752
201512,040014,1,5,3.5977,1545079824,41.9741
201512,040044,0,1,6.5925,1296095578,44.9285
201610,5,0,2,10.6566,1.88505E+11,28.2214
201610,5,1,1,5.1352,3946140451,19.7013
201610,040072,0,1,12.2824,12983875407,30.2471
201512,040072,0,1,10.7968,11192485740,25.0937
201610,040014,0,4,7.1549,1.44808E+11,37.7455
201610,040012,1,5,3.2282,2044444812,69.4482
201610,040014,1,3,4.9701,1124449770,8.3845
201512,040072,0,2,10.112,26505348682,24.9224
201512,040021,1,4,3.3812,31412353146,22.4782
201512,040072,1,1,5.2007,112469716,42.3442
201512,040021,0,5,6.143,2317181265,23.9416
201512,040021,1,1,4.8292,94676145,20.1346
201512,040021,0,2,12.9576,5779916557,45.0643
201512,040072,1,3,4.4464,299364352,18.9686
201512,040072,2,2,10,74095,11
201512,040072,0,4,6.1473,98170077081,78.4589
201610,040072,1,3,4.3173,292225243,22.2667
201610,040072,2,2,10,13137,1
201610,040072,0,4,7.566,1.04153E+11,82.9156
201512,040002,1,5,2.9221,1174748442,52.8582
201512,040002,2,4,,39396483,10
201610,040021,0,1,15.9071,4683695407,58.1337
201610,040002,0,3,7.9402,8250722763,16.5819
201610,040002,2,1,0,0,0
201610,040002,1,2,4.108,796161703,25.6493
201610,040044,1,3,4.3166,316072162,27.694
201610,040044,0,4,6.9547,65913624736,45.6481
201610,040012,0,3,8.5048,11305543990,15.4191
201610,040012,1,2,4.9902,1268935627,27.5136
201610,040014,0,1,11.7997,44384391757,28.9461
201610,040012,2,1,9.2606,7931648,61.0064
201512,040014,0,4,5.8798,1.17045E+11,35.4354
201512,040014,1,3,4.6122,1701398324,8.7325
201512,040012,1,5,4.4964,657055281,91.0068
201512,040002,1,2,3.9484,928533655,24.7841
201512,040002,2,1,9.6999,129150,8.7191
201512,040002,0,3,6.7822,7971741464,15.378
201512,040036,0,3,10.1446,867925285,40.5603
201512,040036,1,2,5.9373,258247370,96.7706
201610,040044,0,5,8.2525,1765212061,31.0285
201610,040044,1,4,3.2781,15154515503,36.0638
201512,5,1,5,6.3888,22441580327,74.2372
201512,5,2,4,,39396483,10
201512,040014,0,5,6.2798,1937530855,52.6987
201512,040014,1,4,3.2898,59929339470,46.4829
201610,040014,0,5,7.2457,1581800543,80.369
201610,040014,1,4,3.438,62652878584,44.3246
201610,040014,1,5,4.1577,1193345090,46.2196
201610,040036,0,2,12.0363,1935134377,55.9351
201512,040036,0,2,11.6248,2220338286,52.3764
201610,040036,1,1,6.4413,59691502,66.1091
201512,040036,1,1,4.4335,15997139,6.2002
201610,040044,0,1,8.268,1680969345,41.8235
201512,5,1,1,5.0285,3785302780,21.1112
201512,5,0,5,6.0725,59749820419,152.0926
201512,5,0,2,9.5086,1.67894E+11,26.3942
201512,5,1,4,3.3865,4.11198E+11,43.592
201610,040002,1,4,2.6581,58788192325,34.5214
201512,040012,1,1,4.6441,1106483349,21.358
201512,040012,0,2,8.5567,24128623069,22.154
201610,040012,1,1,4.8299,1025509968,18.6139
201512,040002,0,1,10.5538,9417680514,22.763
201610,040012,0,2,10.2098,27172069162,24.7172
201512,040036,0,5,5.652,35366923530,195.9198
201512,040036,1,4,4.7623,52659343617,38.0663
201512,040072,0,5,5.7898,6687236579,74.0421
201512,040072,1,4,3.9164,28434487266,51.5868
201512,5,0,4,6.0891,7.86716E+11,46.883
201512,5,2,2,9.9809,861248,19.2729
201512,5,1,3,4.2192,6826708080,14.7647
201512,5,0,1,10.2849,1.53001E+11,28.872
201512,040036,0,4,7.2219,50367435442,63.4664
201512,040036,1,3,4.4032,97296777,32.5944
201512,040044,0,2,6.4695,3755703481,36.4271
201512,040044,1,1,4.5692,251430432,52.2371
201512,040036,1,5,5.0202,8134999578,133.7446
201512,5,2,1,9.9304,557018,25.0043
201610,5,2,4,,40035648,0
201610,5,1,5,5.2805,21634159673,72.1761
201512,5,1,2,4.8468,8178589357,23.5633
201512,5,0,3,7.4412,61660529828,21.0085
201610,040021,1,5,4.0204,754074110,8.6864
201512,040014,1,2,5.3452,1956874578,10.3455
201512,040012,1,4,3.1079,1.20584E+11,55.807
201512,040012,0,5,7.3375,2252672857,49.2782
201512,040014,2,1,10,427868,29.92
201512,040014,0,3,7.5165,9954521926,21.3294
201610,040012,1,4,3.4091,1.23113E+11,62.4837
201610,040014,1,2,5.569,1957203678,11.7769
201610,040014,2,1,10,229584,22
201610,040012,0,5,7.9667,2880368055,100.0544
201610,040014,0,3,8.9673,10220911862,26.5028
201610,040002,2,2,10,108012,30.0657
201610,040002,1,3,3.5456,793552887,17.0725
201610,040002,0,4,6.4934,1.16781E+11,29.3324
201512,040021,1,2,4.7113,542091873,21.6653
201512,040021,0,3,7.6201,2608277441,24.5869
201610,040036,0,1,15.9211,1626827909,92.7931
201512,040012,0,1,10.2852,57701735456,27.5971
201610,040044,0,3,8.0784,3393698801,35.4431
201610,040044,1,2,4.0989,336716842,23.859
201610,040002,0,1,11.0012,11455788135,22.9059
201512,040002,0,2,10.7462,28365515535,22.1542
201512,040002,1,1,3.5617,286692502,15.8486
201610,040036,1,3,5.0971,100197636,28.6344
201610,040036,0,4,8.3486,46601526489,77.2013
201512,040072,1,5,5.0195,2227459189,22.0917
201610,040012,0,4,7.0855,1.60661E+11,37.7237
201610,040014,0,2,10.7112,34069087591,29.1129
201610,040012,1,3,4.6014,1582611356,13.1326
201610,040072,0,2,11.38,27676683853,26.4217
201610,040072,1,1,5.4612,116831539,32.6545
201610,040036,1,5,5.0281,8562031166,123.5232
201610,040021,0,2,12.714,6460296865,51.4947
201610,040021,1,1,5.5218,106315906,17.0683
201512,040044,0,5,6.615,1709648167,14.0129
201512,040044,1,4,2.4522,15389843710,45.4725
201610,040044,0,2,8.1578,4245125474,35.6495
201610,040044,1,1,4.4896,264261134,42.83
201512,040002,0,5,5.45,157222973,63
201512,040002,1,4,1.9889,65476023708,26.0663
201610,040021,1,4,3.5946,34617953520,16.651
201610,040021,0,5,7.7803,1168749167,39.5548
