cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201512,040044,13,1,2,2,11264530
201512,040021,10,1,926,272,59184301
201512,040072,27,1,162,133,83318280
201512,5,18,3,227,18,371801933
201512,5,16,2,5382,1893,4020301334
201512,5,17,4,6580,34,4318041335
201512,040002,25,4,112,37,4404279094
201612,040044,6,1,3,2,4364673
201512,040021,3,2,120,59,31468856
201512,040021,2,3,157,9,69119174
201512,040072,1,1,314,256,131356313
201612,040036,30,4,42,11,672988962
201512,040072,25,3,100,44,180492792
201612,5,7,1,5909,3790,2369176850
201612,040036,26,2,117,90,37839392
201512,5,13,5,1,1,383314096
201512,5,16,5,1,1,67736477
201512,5,20,1,4835,2773,1346304399
201512,040012,999,3,4,2,3349645
201512,040072,26,2,548,306,621595088
201512,040044,10,4,18,9,625869527
201612,040036,27,1,424,383,27756936
201612,040044,3,4,1,1,122939666
201512,040021,7,4,3,3,20759713
201612,5,5,3,949,152,2007309412
201512,5,15,3,2451,340,5800089187
201512,040044,9,5,6,3,1326334071
201512,040021,23,4,369,12,1538667126
201612,040072,32,2,918,502,771757204
201512,040014,21,2,556,325,864970459
201512,040021,29,1,325,121,20493305
201512,040002,7,3,30,16,132263593
201612,040012,6,1,1249,911,484770551
201512,040021,26,1,1962,706,156751819
201612,040014,4,1,320,267,171417385
201612,040044,25,3,19,11,190604942
201612,040002,2,3,29,24,155175733
201612,040044,27,1,11,7,3407727
201512,040012,10,1,2079,1077,390316420
201512,040012,15,2,4807,1260,2133280945
201512,5,25,4,36149,155,43292072445
201612,5,2,4,4044,159,21664583038
201512,040012,14,3,970,131,1173062434
201512,040072,2,2,841,416,1019508924
201612,040002,3,2,563,467,275279348
201512,040012,9,2,13178,4585,8633923392
201612,040002,1,4,12,8,936910913
201512,040002,20,4,15,3,211620399
201612,040072,19,5,3,1,1270393825
201512,040072,19,3,320,141,1030124894
201612,040072,20,4,15,7,60007546
201512,040012,27,2,375,175,246920768
201512,040014,25,2,641,374,1208407153
201512,040072,21,1,413,333,351499090
201512,040072,20,2,368,294,508650265
201612,040021,6,4,1492,6,572365548
201612,040012,32,3,83,20,89076238
201512,040012,18,2,269,81,115033358
201612,040036,9,2,756,517,954908064
201612,040014,32,1,231,171,169132123
201512,040014,15,3,243,108,901053310
201512,040014,16,2,516,288,607493199
201512,040036,32,3,1,1,163872
201612,040036,4,4,15,4,1306836106
201512,5,30,5,10,2,659029114
201612,040072,14,3,284,151,846238635
201512,040012,999,1,3,1,900990
201512,040036,13,3,2,1,7969184
201612,040044,1,2,20,12,88122856
201512,040012,999,4,4,1,18000000
201512,040036,17,2,28,22,14983838
201512,5,24,1,6092,3644,2489772883
201612,040036,23,1,172,160,36748422
201512,040044,21,3,14,10,158005167
201512,040014,999,2,3,2,989988
201612,040044,2,1,10,8,89500527
