cve_periodo,cve_institucion,cve_destino_credito,cve_TEC,dat_responsabilidad_total
201512,040012,27,1,58258592171
201612,040044,25,5,50025993
201612,040002,22,3,289266833
201512,040002,27,2,28136029148
201512,040044,25,5,923909847
201612,5,29,1,155558995
201512,5,32,1,260637627
201612,5,22,1,11349109184
201612,040021,24,2,32355851
201612,040072,21,4,11916797093
201512,040014,32,1,14151797
201612,040002,27,1,12134138073
201512,040044,28,1,14108371
201512,5,31,4,37292971
201512,040014,22,2,3251594081
201612,040002,22,1,90360121
201512,040036,22,2,14401082
201612,040002,30,1,58703709
201512,040012,30,3,190748244
201512,5,26,3,39987901
201512,5,28,2,1694250813
201512,5,23,5,573033998
201612,5,31,2,23457138
201512,040012,24,2,343819
201512,040021,25,5,413911781
201612,040021,0,4,11003196737
201512,040072,21,3,87675808
201612,040012,22,2,8220361
201612,040021,0,1,0
201512,040002,0,4,5598220
201612,5,33,1,1561816
201612,5,30,2,608334883
201512,040012,32,4,4127652341
201512,040044,21,4,11532804236
201612,040044,26,2,81644325
201512,040002,30,4,1485350726
201512,040012,0,5,837813023
201512,040002,24,1,31305492
201512,040044,28,4,740066253
201612,040044,28,1,12945276
201512,040002,30,2,295562262
201612,040036,27,5,42789907279
201512,040044,27,2,2645908241
201512,040014,29,2,282218350
201512,040014,30,1,7390002
201612,5,24,5,343500517
201612,5,29,2,406096891
201512,040012,0,4,12241716084
201512,040072,32,2,44769130
201612,040036,22,3,3334736
201612,5,27,5,59926166378
201512,5,25,5,2439170060
201512,5,24,3,312632870
201612,5,21,2,5339578955
201512,040012,24,1,579941
201612,040002,30,3,136227163
201612,040014,30,1,3755970
201612,040012,32,1,14914513
201612,040002,28,3,113959910
201612,040021,21,2,8162913
201512,040044,22,5,47197080
201612,040014,29,1,139081043
201612,040014,32,2,1636827
201512,040021,24,3,6080000
201512,040021,22,3,46130032
201612,040044,32,1,10002857
201612,040002,22,4,6202205865
201512,040044,28,2,81963901
201512,040072,27,5,6825499137
201512,040012,27,3,12296681441
201512,5,27,3,55251550302
201512,5,23,4,1203759530
201512,5,29,4,535197468
201612,5,24,2,554295198
201612,5,0,5,5616896928
201612,040044,21,4,12700108486
201612,040044,26,3,13029152
201512,040021,21,2,11338791
201512,040014,27,1,39450078137
201612,5,28,3,1759697370
201512,5,22,3,6621056773
201512,5,0,2,606513033
201512,040021,32,1,71707
201512,040014,30,4,3414592
201612,040012,30,4,2439301882
201512,040044,0,3,48856358
201612,040072,25,4,6342095256
201512,040021,21,3,12999318
201612,5,26,4,4577189713
201512,040072,26,5,693926497
201512,040014,29,3,84745902
201612,040014,0,3,24437366
201612,040072,22,4,6328747154
201612,040021,22,1,42055326
201512,040072,32,1,16865287
201612,040014,27,3,7633709223
201512,040002,24,2,415831275
201512,040012,22,2,13199174
201612,040036,22,5,785494093
201612,040014,30,2,2994635
201612,040014,27,5,3011240359
201612,040012,0,4,16707220558
201612,040012,0,1,54931659
201512,040012,28,4,11837944043
201612,040036,27,1,1403653447
201612,040002,24,2,445368772
201612,040002,27,5,1077562167
201612,040072,30,1,1027770
201512,040072,28,4,67153218
201612,040012,30,1,145312388
201512,040014,27,4,1.42463E+11
201512,5,26,2,348441132
201612,5,25,3,1176984626
201612,5,24,3,198136085
201612,5,29,4,686901546
201512,040002,22,4,5785900975
201612,040044,27,4,33916648799
201612,040012,28,2,421506180
201512,040012,27,5,2071915115
201612,040072,32,1,11283525
201512,040036,22,4,7031316
201512,040002,22,3,361321393
201512,040036,27,4,1.0302E+11
201612,040072,26,5,663044762
201612,5,24,4,7247340380
201612,040044,28,4,859982177
201612,040044,25,3,69023649
201612,040021,32,1,1321
201512,040044,30,4,15002312
201612,040021,24,4,43801547
201612,040002,22,2,257145190
201612,5,27,4,1.11864E+12
201612,040014,0,1,126173692
201512,040036,27,5,43501923108
201612,040044,27,5,370915587
201512,040072,25,4,5448313451
201512,040044,32,2,7935168
201512,040002,27,4,1.46584E+11
201612,040044,27,3,2695664120
201512,040044,32,1,55101460
201612,040012,0,2,38485850
201612,040002,28,1,20285661
201512,040044,22,2,532884262
201612,040036,22,2,96321962
201512,040014,0,4,8861476260
201612,040012,27,1,66619390908
201612,040044,26,1,26689521
201612,040014,29,2,398853212
201612,040012,22,4,242868502
201612,040072,30,2,2915717
201512,040021,32,4,3120315282
201512,5,26,5,1250587103
201612,5,28,4,48596667699
201612,040044,29,2,33873
201512,040012,25,4,331935040
201612,040014,27,1,41738634282
201612,040021,22,2,155422387
201512,040014,27,3,7756968154
201512,040002,28,1,68999470
201612,040002,30,4,2012650519
201512,040044,26,1,58235956
201612,040044,21,5,1331380141
201512,040002,28,4,6578478056
201612,040021,26,5,608367975
201512,040021,0,1,46352680
201512,040021,27,2,6101980438
201512,5,26,4,4353701844
201612,5,27,3,55213523208
201612,5,32,4,19528778344
201512,5,28,4,39774896890
201512,5,25,4,13188690703
201512,5,24,4,6763990477
201612,5,25,5,1542003125
201612,5,30,3,327349969
201612,5,0,3,114392758
201612,040014,28,2,830818203
201612,040012,28,4,16564471085
201612,040012,30,2,228627506
201612,040014,30,3,6247909
201512,040044,25,3,73612145
201612,040036,22,1,158675542
201612,040012,0,5,909015620
201612,040014,27,4,1.6336E+11
201612,040044,30,4,15040534
201512,5,22,1,9580378241
201512,040044,29,2,10302835
201612,040044,27,1,1337136089
201612,040014,29,3,122384911
201612,040002,24,1,31974506
201612,040014,22,1,2464316853
201612,040036,27,3,820854517
201512,040012,31,4,30209633
201612,040072,32,2,5231167
201512,040014,22,5,26495072
201612,040021,32,4,2261751288
201512,040014,22,3,2909612482
201612,040021,27,1,4694578245
201612,5,25,4,17258239964
201512,5,22,5,515892448
201512,5,30,1,129768841
201512,5,0,5,8991792722
201512,5,27,2,1.48799E+11
201512,5,0,4,54063040156
201612,040072,31,2,386322
201612,040044,22,1,353150968
201612,040044,25,1,21695235
201512,040012,28,3,589089297
201512,5,21,4,32333500469
201512,5,32,5,49899542
201512,5,27,4,9.73602E+11
201612,5,32,1,227118067
201512,040021,27,1,4598685981
201512,040014,28,4,11914872656
201512,040012,28,1,421697069
201612,040072,25,5,1020550922
201512,040044,25,1,9457204
201512,5,29,3,137055436
201512,040021,27,3,3113752385
201512,040014,22,1,2608518894
201612,040044,22,5,43514421
201512,040044,22,3,423976589
201612,040014,22,2,3489885353
201612,040021,25,4,362944657
201512,040044,32,4,2262669345
201612,040044,0,3,35451589
201512,040014,29,4,475567771
201512,040002,27,1,9513382343
201512,040014,28,3,844356878
201612,5,25,1,2060235922
201612,5,22,5,1325927075
201512,5,22,2,14961913599
201612,040014,0,4,8043223231
201612,040002,28,2,60562684
201512,040036,27,1,1456464239
201512,040044,27,3,2617517156
201512,040012,32,1,19658618
201612,040012,28,3,508662142
201512,5,21,3,2201941164
201612,5,23,4,779250762
201612,040044,32,4,3888704944
201612,040072,27,3,6525175869
201612,040044,29,4,17831928
201612,040044,27,2,2798802519
201612,5,0,1,421446395
201512,5,24,5,404072600
201612,5,23,5,526141862
201612,5,21,5,3957322324
201512,040021,24,4,17341809
201512,040002,30,3,155305420
201612,040012,24,3,9496
201612,040012,25,2,14871144
201612,040002,27,3,8114530165
201512,040044,27,1,998814596
201512,040072,25,1,126989202
201512,040044,22,1,239880304
201612,040044,26,4,1942885691
201512,040036,22,1,4488395
201612,040002,27,4,1.67833E+11
201512,040014,29,1,119141012
201612,040044,22,2,871912627
201512,040021,25,4,515069241
201612,040014,28,1,679014101
201612,5,22,4,1.09421E+11
201512,5,25,3,1180209690
201612,5,32,2,371736161
201612,040014,30,4,1882460
201612,040036,27,2,1817889544
201512,040072,25,5,1046388918
201512,040072,22,2,1701393702
201512,040044,26,4,2237451995
201512,040021,24,2,9543490
201512,040044,26,2,124463526
201512,040044,21,5,355227144
201612,040014,28,3,770158736
201612,040014,0,2,88728102
201612,040012,21,4,113176559
201612,040072,21,1,194426218
201512,5,21,2,4815348644
201512,5,33,2,369723
201512,040014,32,3,2152349
201512,040014,0,2,139009636
201612,040072,27,4,1.21954E+11
201512,040002,27,5,1331971415
201512,5,25,2,3038484694
201512,040072,30,1,310734
201612,040021,27,3,2941024060
201612,040021,25,5,394745159
201512,040021,26,1,61766
201512,040072,21,1,187024878
201612,040014,32,1,1219257
201512,5,28,1,1273692612
201512,040014,30,2,7152155
201512,040012,27,2,24481801311
201512,040012,24,3,9496
201512,040012,22,1,6772489
201512,040072,21,2,542007498
201612,040072,25,1,193572829
201612,040012,28,1,275740985
201512,040072,26,2,136684203
201512,040072,27,1,10164588514
201612,040072,0,4,800103785
201612,040072,28,4,10822364
201612,040021,27,4,1.07122E+11
201512,5,29,1,143781470
201512,5,32,2,375420049
201512,5,21,1,1506028399
201512,040012,0,1,39521836
201512,040072,30,4,42395802
201512,040014,28,1,531259357
201512,040012,30,1,61396681
201512,040021,22,1,119309439
201512,040012,28,2,496788700
201612,5,23,2,50500005
201612,5,29,3,146612097
201612,5,32,5,6345149084
201612,5,26,2,220513827
201512,5,30,2,512645631
201612,5,21,4,47193471505
201512,5,24,2,551342311
201512,040014,27,5,3456115607
201512,040002,29,4,4724069
201612,040014,22,3,2683306821
201512,040002,24,3,228741305
201612,040021,27,2,7005347216
201612,040044,21,2,765780857
201612,040072,25,3,179329324
201612,040002,28,4,7727005310
201512,040002,24,4,1876927561
201512,040014,24,4,134174202
201612,5,22,2,17424237909
201512,5,23,2,54903220
201612,5,24,1,98271565
201612,040021,0,5,488980650
201512,040002,28,2,110936000
201612,040072,27,2,26187477177
201512,040072,22,4,4304923809
201512,040014,0,3,44941900
201512,040072,22,3,399703200
201612,040021,22,4,2531265110
201612,040012,24,1,0
201512,5,23,3,6948978
201512,040012,22,4,237074548
201512,040044,27,4,36468688753
201612,040002,29,4,27176446
201512,040002,22,1,66166062
201512,040072,25,2,363155590
201612,040072,26,2,61499599
201612,040036,27,4,1.10438E+11
201512,040012,32,3,16923035
201512,040012,27,4,2.23755E+11
201512,5,31,2,5948981
201612,040002,29,3,0
201612,5,21,1,2048758582
201612,5,25,2,3572491247
201512,5,32,4,10775373985
201612,040044,28,3,55521064
201512,040012,30,4,1143421281
201612,040072,0,1,2142992
201512,040021,22,2,198234390
201612,040014,22,4,12627906276
201512,5,28,3,2132109874
201612,5,27,1,1.60829E+11
201512,5,25,1,1746199939
201612,5,28,2,1869400405
201512,5,26,1,122519340
201512,040021,26,2,911321
201612,040072,21,3,210458077
201612,040002,0,4,5448157
201512,040021,27,4,94819800315
201612,040012,25,4,196114089
201612,040021,24,1,5360512
201612,040044,28,2,100126579
201612,040021,24,3,1448601
201512,040021,32,5,49899542
201512,040072,31,2,4025904
201612,5,30,1,222279474
201512,5,33,1,2610037
201612,040012,32,4,6283141319
201512,040021,27,5,794875145
201512,040072,0,1,6170930
201612,040072,22,3,362569818
201612,5,26,5,1271412737
201612,5,26,3,19273585
201612,5,22,3,6215356167
201512,5,24,1,123453479
201612,040072,26,4,1528082861
201612,040072,21,2,441726306
201512,040072,22,1,803005911
201612,040012,24,2,0
201512,040044,21,1,171928119
201612,040012,27,2,28510946960
