cve_periodo,cve_institucion,cve_tipo_moneda,cve_destino_credito,cve_TEC,tasa,responsabilidad,plazo
201512,040014,1,22,4,3.1156,841083589,3.1273
201612,040014,0,29,4,8.1227,519363489,19.9851
201612,040014,1,29,3,3.59,1457166,15
201512,040014,0,22,5,6.05,26495072,
201612,040012,0,31,4,9.75,20229921,41
201612,040012,1,30,4,5.1572,1111233028,102.9221
201512,040012,0,25,4,7.4546,331935040,
201512,040012,1,27,1,4.6326,1023623704,22.8476
201512,040044,0,29,2,5.5415,10302835,11.049
201512,040012,1,22,3,4.964,10741822,3
201512,040014,0,22,2,7.3234,3085440473,6.3001
201512,040036,0,27,5,5.652,35366923530,195.9198
201512,040036,1,27,4,4.7623,52659343617,38.0663
201612,040002,0,0,4,11.25,5448157,140
201512,040012,0,28,1,7.683,348413469,2.7906
201612,040014,1,27,5,4.1116,1540416213,45.3115
201612,040014,0,32,1,11.9538,1219257,16.6073
201512,040002,1,30,4,3.2459,410354222,33.0196
201512,040012,0,27,2,8.611,23340063444,22.3912
201612,040014,0,30,3,8.37,6247909,16.448
201512,040012,0,22,1,9.5605,6772489,15.8652
201612,040014,1,28,4,3.5558,2780940751,24.6218
201612,040021,0,32,4,5.9938,2261751288,19.1176
201512,040021,1,27,3,4.0373,570684294,22.6896
201612,040021,0,32,1,36.9,1321,
201512,040021,0,26,5,6.84,54497378,58
201512,040021,0,27,1,17.0672,4520744691,46.72
201612,5,1,21,1,7.4948,67467994,23.4415
201612,5,0,21,2,10.7507,5077317206,49.7656
201612,5,0,22,1,10.4132,10921113623,54.1318
201612,040012,0,24,1,0,0,
201612,040021,0,21,2,9.7441,8162913,
201612,040044,1,22,3,5.7345,34149349,23.5559
201612,040044,0,21,5,9.047,1290094386,30.4687
201612,040044,0,25,1,10.0359,21695235,10.4063
201512,040012,0,0,4,6.179,4886497605,131.7641
201512,040014,0,0,2,11.6524,133759235,12.3152
201612,5,0,0,4,9.0081,41926363656,126.7307
201612,5,1,0,3,4.76,4854773,5
201612,040072,0,26,5,8.5614,663044762,28.6169
201612,040072,0,21,1,10.9379,192782396,37.4147
201512,040014,0,27,2,9.6685,26536636291,25.8748
201512,040014,1,27,1,5.6286,945305986,8.6709
201512,040012,0,27,4,5.7302,1.1334E+11,40.1166
201512,040012,0,30,1,7.87,57749877,34.5287
201512,040012,1,28,2,5.0489,5697202,3.2949
201512,040012,1,27,3,4.2696,1629960823,12.666
201612,040012,0,0,1,8.0219,54931659,91.7176
201512,040072,0,22,2,8.7336,1616562202,42.8721
201512,040012,0,0,5,6.0492,390017972,104.1932
201512,040012,1,0,4,3.2897,7355218479,135.9837
201512,040014,0,0,3,9.6195,30174560,9.9883
201612,040002,0,24,1,11.25,4829755,27
201512,040072,1,22,1,4.923,37590807,63.88
201512,040072,0,21,3,10.3874,73659921,26.8679
201512,040072,1,32,4,4.4436,10666228,30.1111
201512,040072,0,32,1,8.3886,16865287,26.9006
201512,040036,0,22,1,16.6792,4488395,23.6553
201612,040044,0,25,3,8.9831,69023649,4.6587
201612,040044,0,27,1,8.8566,1210739612,45.1726
201512,040044,0,28,1,7.9326,14108371,
201512,040021,0,21,2,9.8284,11338791,
201512,040044,0,27,2,6.3382,2414388326,36.029
201512,040044,0,22,1,7.0868,180888515,55.4666
201512,040044,1,21,1,5.271,27931909,56.4428
201512,040021,0,22,1,6.4179,102574584,27.3062
201612,040072,0,30,4,8.5223,48124224,19.5798
201512,040021,1,22,4,3.6065,160347493,21.6207
201512,040021,0,26,1,18.184,61766,19.6193
201512,040044,1,28,4,5.1351,21050513,
201512,040036,0,27,4,7.2217,50360404126,63.4694
201512,040044,0,32,1,6.678,55101460,30.7421
201612,040044,0,27,2,8.8178,2637581674,31.9076
201512,040072,0,28,4,5.4947,67153218,9.0782
201612,040044,0,25,4,9.1547,704396531,10.9725
201612,040036,0,22,2,10.4553,96321962,91.973
201612,040021,1,21,4,2.49,52036277,7
201612,040072,0,32,1,9.9692,11283525,17.1297
201612,040072,1,27,5,5.7917,2118585334,18.2425
201612,040072,0,31,2,13.9,386322,36
201512,040072,0,32,4,6.1203,638899305,120.5722
201612,040012,0,27,5,8.3497,2642455820,97.783
201612,040012,1,27,4,3.5092,1.21397E+11,52.88
201612,040014,1,27,2,5.9165,1855938901,13.5399
201612,040014,0,29,1,8.5487,88044548,22.0972
201612,040012,1,28,3,2.9358,7555012,1.0363
201612,040014,2,27,1,10,215400,20
201612,040014,1,28,1,0.5013,21536391,
201612,040014,0,28,2,9.012,740993176,22.898
201612,040012,0,30,2,8.5145,217582384,32.8305
201612,040012,0,28,4,7.8784,15522894228,8.5765
201612,040014,0,27,3,10.0047,6614251795,27.642
201612,040012,1,30,1,4.72,12596865,43.9053
201512,040044,0,30,4,5.55,15002312,
201512,040021,0,24,1,6.92,7476345,40
201512,040044,0,26,2,6.5264,92938089,54.5478
201512,040044,0,25,3,6.6002,73612145,23.161
201512,040044,0,27,1,6.3943,834307862,53.4542
201512,040036,1,27,1,4.4335,15997139,6.2002
201512,5,1,0,2,5.48,5250401,8
