cve_institucion,cve_periodo,cve_grupo,plazo_venc,plazo,tasa,cve_tipo_moneda
040036,201512,1,3,35,18.157061,0
040036,201512,2,21,43,18.314431,0
040036,201512,3,27,46,18.703234,0
040036,201512,4,29,47,18.600723,0
040036,201512,5,30,46,18.045372,0
040036,201512,6,30,48,16.396685,0
040036,201512,7,33,48,12.775509,0
040036,201512,8,46,66,9.436706,0
040036,201512,9,68,87,8.885111,0
040036,201512,10,69,84,8.338847,0
040036,201512,11,69,85,8.014501,0
040036,201512,12,80,99,7.758529,0
040036,201512,13,99,118,7.32474,0
040036,201512,14,62,82,7.434185,0
040036,201512,15,33,49,6.669477,0
040036,201512,16,49,74,6.921074,0
040036,201512,17,67,88,6.39919,0
040036,201512,18,111,130,5.838703,0
040036,201512,19,168,188,5.93768,0
040036,201612,1,61,71,21.441856,0
040036,201612,2,87,100,21.084784,0
040036,201612,3,106,120,20.826865,0
040036,201612,4,109,124,20.50701,0
040036,201612,5,96,112,19.683128,0
040036,201612,6,83,101,17.083203,0
040036,201612,7,34,52,10.936169,0
040036,201612,8,48,72,10.986878,0
040036,201612,9,65,87,9.958312,0
040036,201612,10,56,72,9.644861,0
040036,201612,11,63,79,9.537202,0
040036,201612,12,82,97,9.338636,0
040036,201612,13,100,118,9.232814,0
040036,201612,14,64,82,8.892071,0
040036,201612,15,37,56,7.968386,0
040036,201612,16,100,112,9.116971,0
040036,201612,17,87,108,8.746019,0
040036,201612,18,127,135,5.744566,0
040036,201612,19,125,127,8.181673,0
040021,201512,1,22,33,14.865923,0
040021,201512,2,22,36,17.941034,0
040021,201512,3,24,37,17.659415,0
040021,201512,4,27,38,16.734458,0
040021,201512,5,33,41,14.110456,0
040021,201512,6,37,44,11.907203,0
040021,201512,7,40,46,11.154578,0
040021,201512,8,38,44,9.765429,0
040021,201512,9,34,38,7.384589,0
040021,201512,10,25,30,6.883197,0
040021,201512,11,24,34,6.338194,0
040021,201512,12,28,42,6.040514,0
040021,201512,13,26,35,6.035199,0
040021,201512,14,34,41,6.080685,0
040021,201512,15,34,44,5.710321,0
040021,201512,16,27,40,5.60398,0
040021,201512,17,25,33,4.617539,0
040021,201512,18,25,54,4.73,0
040021,201612,1,21,31,15.193054,0
040021,201612,2,21,32,16.802864,0
040021,201612,3,23,33,16.509854,0
040021,201612,4,29,38,16.058846,0
040021,201612,5,38,45,14.45828,0
040021,201612,6,46,52,13.177308,0
040021,201612,7,44,50,12.339256,0
040021,201612,8,48,55,11.429466,0
040021,201612,9,41,47,9.577298,0
040021,201612,10,26,33,8.924737,0
040021,201612,11,21,31,8.452147,0
040021,201612,12,23,39,8.055776,0
040021,201612,13,22,32,7.960227,0
040021,201612,14,27,37,7.740188,0
040021,201612,15,23,34,7.268834,0
040021,201612,16,20,29,7.088602,0
040021,201612,17,22,36,8.17241,0
040021,201612,18,15,24,7.13,0
040012,201512,1,3,4,6.960875,0
040012,201512,2,3,6,7.183876,0
040012,201512,3,4,10,7.974804,0
040012,201512,4,7,15,9.145177,0
040012,201512,5,11,18,9.211302,0
040012,201512,6,12,19,8.881466,0
040012,201512,7,16,25,9.631235,0
040012,201512,8,21,28,9.579355,0
040012,201512,9,20,27,8.03332,0
040012,201512,10,20,28,6.922064,0
040012,201512,11,28,38,6.611236,0
040012,201512,12,38,49,6.055786,0
040012,201512,13,49,63,6.036194,0
040012,201512,14,56,71,5.796957,0
040012,201512,15,64,81,5.335274,0
040012,201512,16,61,79,5.226922,0
040012,201512,17,59,72,5.008857,0
040012,201512,18,58,72,5.075438,0
040002,201512,1,7,20,15.543873,0
040002,201512,2,7,21,15.94324,0
040002,201512,3,9,21,15.814682,0
040002,201512,4,12,22,15.729563,0
040002,201512,5,16,25,14.883718,0
040002,201512,6,18,27,13.711642,0
040002,201512,7,21,29,12.63484,0
040002,201512,8,23,31,11.269591,0
040002,201512,9,27,34,9.671776,0
040002,201512,10,22,32,6.73111,0
040002,201512,11,24,32,6.197083,0
040002,201512,12,27,36,5.782303,0
040002,201512,13,27,37,5.496791,0
040002,201512,14,32,41,5.158618,0
040002,201512,15,33,41,4.716335,0
040002,201512,16,37,49,4.946391,0
040002,201512,17,31,42,4.144639,0
040002,201612,1,7,19,16.976019,0
040002,201612,2,7,20,16.902135,0
040002,201612,3,9,21,17.03633,0
040002,201612,4,14,24,16.770846,0
040002,201612,5,18,27,15.521765,0
040002,201612,6,19,28,14.549928,0
040002,201612,7,21,30,13.522613,0
040002,201612,8,24,32,12.113978,0
040002,201612,9,29,36,10.354758,0
040002,201612,10,25,34,8.78607,0
040002,201612,11,24,32,8.261783,0
040002,201612,12,27,37,7.740763,0
040002,201612,13,32,42,7.55314,0
040002,201612,14,33,45,7.13934,0
040002,201612,15,38,46,6.796785,0
040002,201612,16,41,54,6.957505,0
040002,201612,17,27,37,6.627655,0
040002,201612,18,12,12,6.21,0
040002,201612,19,10,11,6.33,0
040072,201512,1,6,15,9.288366,0
040072,201512,2,7,20,10.118713,0
040072,201512,3,8,27,11.641638,0
040072,201512,4,15,34,12.66454,0
040072,201512,5,21,36,12.937442,0
040072,201512,6,20,33,12.848969,0
040072,201512,7,19,32,11.880514,0
040072,201512,8,23,34,10.54968,0
040072,201512,9,27,37,9.442326,0
040072,201512,10,31,42,8.13504,0
040072,201512,11,44,57,6.942754,0
040072,201512,12,56,70,6.551542,0
040072,201512,13,57,73,6.532848,0
040072,201512,14,80,95,6.091283,0
