cve_periodo,cve_institucion,sector,m_total,imor,creditos,acreditados
201612,040002,2,52013282,7.9813,31,28
201612,040072,18,492623,0,4,2
201512,040044,6,135146086,0,10,9
201512,040021,23611,5974360511,79.8917,1482,75
201512,040021,10,8565949040,7.036,794,199
201612,040072,1,7226551701,2.1446,2058,955
201512,040012,9,3470153938,0.7635,4446,200
201612,040044,23611,1221388273,16.4114,35,28
201512,040002,22,3118743126,0.0046,106,74
201612,040036,13,71112035,1.4202,79,60
201612,040012,9,7799041619,0.3915,5304,230
201512,040072,13,132851570,5.7434,157,75
201612,040021,22,2818754998,0.391,12506,35
201512,040044,11,10667006787,0.5179,265,160
201612,040012,13,111003147,8.9785,117,68
201512,040002,20,3767096247,0.0545,645,475
201612,040012,21,7717668332,0.5579,6264,498
201512,040044,3,20864632108,2.4387,663,487
201612,040036,5,44937865261,2.4776,548,229
201512,040072,8,3871933056,2.2377,1172,721
201612,040072,11,17057816722,1.9496,5578,3554
201512,040012,5,34528389800,4.7776,10580,3020
201612,040014,16,17914604984,0.2558,2143,1512
201512,040036,15,50732819168,0.7429,4110,2714
201512,040014,13,141128507,0,70,50
201512,040021,9,2112844713,0.0309,228,53
201612,040072,17,557633656,0,1,1
201512,040072,20,1855971918,3.6305,834,602
201512,040021,6,1507932044,0.1407,1129,253
201612,040072,20,1914035067,4.9116,983,663
201612,040014,14,10011129599,0,83,57
201512,040014,11,28753210119,2.6442,5326,3419
201612,040044,7,3761669106,0,66,46
201612,040021,12,333467496,0.771,1052,259
201612,040012,23,670928690,0.7342,4132,107
201512,040021,2,5833566,5.3371,6,6
201512,040002,10,5510868414,0.2452,523,347
201612,040021,6,1483573646,1.1623,1087,265
201512,040014,8,13536792080,1.3778,1681,1023
201612,040002,23611,1915889358,2.2338,123,95
201512,040021,7,3328674606,0.1928,20483,263
201512,040002,5,9859000570,0.8324,2227,1710
201512,040044,9,1427232173,0,14,11
201612,040012,15,71339157527,1.0886,29472,11100
201612,040072,21,2122329576,0.6974,621,355
201612,040014,9,4268224562,0.022,265,116
201512,040072,4,2731452955,1.2161,629,353
201612,040002,11,36391949228,0.2728,4820,3579
201612,040072,10,13567101062,2.9921,920,453
201612,040014,20,4524979141,3.8246,1345,823
201512,040044,15,11107005125,1.4909,303,244
201612,040072,4,4171849122,0.5647,774,470
201612,040014,1,11487236655,0.9395,2838,1685
201612,040044,20,829312521,12.1678,52,24
201612,040072,23,276891360,2.543,196,145
201512,040014,9,3839532227,0.092,259,115
201512,040014,15,41758685527,1.2983,19293,14919
201612,040012,4,7748574929,0.6643,2867,822
201512,040044,20,1000029289,10.9996,50,24
201512,040072,14,482087399,0.9347,195,81
201512,040002,15,22116927677,0.3363,7434,5548
201512,040012,22,6520663510,0.7027,2837,187
201612,040012,8,18749932031,1.4337,27268,1029
201612,040036,12,1936087945,0.1664,133,101
201612,040044,9,1114016060,0,15,12
201612,040021,14,3757202064,0.0634,139,58
201512,040002,21,9820381025,0.0071,736,531
201612,040014,23611,11727523113,11.2179,1784,180
201512,040044,22,42831340,0,4,2
201612,040012,16,12498783886,0.5875,5441,2648
201512,040014,4,9836456341,0.2829,571,419
201512,040012,16,10061238564,0.4629,16652,2558
201512,040036,4,618958537,12.9991,73,60
201612,040014,10,13690875629,3.1381,771,530
201512,040021,23,94621764,0.193,123,26
201512,040072,3,33577722334,3.5223,19435,13408
201612,040036,23,92606542,0,16,11
201512,040036,21,304975560,0.1651,64,29
201612,040021,8,7901845542,2.1881,5490,323
201612,040072,23611,8289136324,21.5865,688,316
201612,040002,10,6405720189,0.1869,533,341
201612,040014,5999,24974096094,1.3029,3802,1907
201512,040021,5999,13071621491,16.6662,4807,1559
201612,040021,5999,12784474978,11.6253,4157,1546
201512,040072,21,1548657219,1.8671,530,291
201612,040021,7,3764657668,0.1219,20080,262
201512,040036,5,44916831422,2.9126,614,291
201512,040014,3,48049256724,1.7387,18347,12538
201612,040002,22,2818776356,0.0063,106,71
201512,040012,15,52845556383,0.8904,29996,11297
201612,040036,22,11068003185,0.1552,20,9
201512,040036,22,16022997,89.6959,13,7
201512,040021,13,22692355,0.8893,140,62
201612,040012,6,1005268321,1.2563,997,398
201512,040014,20,4042549538,1.8637,1471,862
201612,040044,16,1114688264,3.4789,61,37
201512,040072,16,5583054742,1.8652,2317,1377
201512,040012,7,14967767885,0.3454,6608,1178
201612,040036,14,333415136,0.0456,19,13
201612,040012,10,31258182953,1.2158,2119,506
201512,040021,15,15003512777,1.5235,25365,7940
201612,040002,20,3663887067,0.1385,692,519
201612,040021,16,2563432320,0.9858,1838,667
201512,040036,13,12043013,10.6755,76,49
201512,040002,6,48783218,2.1781,61,52
201512,040014,21,3331940812,0.1101,651,333
201512,040012,23611,12505998350,8.3143,5073,407
201612,040072,15,52380150862,0.917,14960,10404
201612,040002,3,67893910853,0.5954,40341,33428
201612,040021,23611,1588390371,43.586,1057,70
201612,040014,12,1473562634,0.0986,642,500
201612,040002,6,55208245,10.4646,77,69
201612,040044,11,13019151408,0.8619,342,207
201612,040036,8,1150380471,1.3424,77,56
201512,040021,21,6050615819,5.4804,2043,141
201512,040072,5,37703877058,12.3052,3407,1841
201612,040021,10,8045556537,0.2108,719,213
201612,040044,15,15854635800,1.1518,553,418
201512,040044,16,915695794,5.1959,35,22
201612,040002,12,1375785796,0.0023,323,285
201612,040036,6,2725893816,3.0346,273,195
201512,040002,12,506061168,0.1186,290,253
201612,040072,14,870676978,0.2971,258,134
201612,040044,6,136039031,0,12,10
201512,040036,1,858144432,2.0242,87,58
201612,040012,22,6282880731,0.747,3637,197
201512,040012,19,63137,0,1,1
201512,040002,23611,1770741410,0.1163,123,93
201612,040044,4,4699964862,1.5093,33,22
201612,040012,20,4769084462,4.4283,3367,1007
201512,040044,4,635049983,1.723,17,13
201512,040072,9,1419946042,1.0419,155,84
201512,040012,5999,22022391450,2.7692,5507,2613
201612,040012,5999,23931086665,2.1072,8132,2536
201512,040014,5999,23989855059,2.4419,3820,1910
201512,040002,11,29205840904,0.1248,4541,3389
201612,040014,3,53684545387,1.4318,18627,12495
201612,040044,5,4609924149,7.6381,187,142
201612,040021,1,4228483308,4.3173,2202,804
201512,040002,2,31598999,0.0269,31,26
201512,040036,11,5235552972,3.3222,520,311
201612,040036,16,1910630498,10.503,145,104
201512,040072,10,12086994046,0.3306,839,359
201512,040012,3,58693117608,1.951,89104,20010
201612,040002,14,6275552760,0,48,32
201612,040012,12,5128152434,0.2277,725,498
201612,040036,23611,5284171846,19.8919,173,73
201612,040002,8,20936955410,0.025,1224,726
201612,040014,23,914776767,0.2978,218,154
201612,040044,13,13525537,0,7,6
201612,040036,10,22154343345,0.0431,229,40
201612,040014,4,5302170557,0.3595,528,387
201612,040012,23611,15668458669,4.3455,6923,373
201512,040036,23611,6383410017,18.9722,201,94
201512,040012,10,26542800080,1.9127,1798,473
201612,040072,3,32231774617,3.237,26723,18112
201512,040002,14,4021925934,0.0011,39,30
201612,040012,1,15416704530,1.4943,3141,780
201512,040021,4,6101529841,0.5713,837,437
201612,040002,23,90867653,0.0275,53,37
201512,040012,1,14459836777,1.7696,2940,827
201512,040036,19,503522,0,1,1
201612,040072,9,1305574395,0.3455,149,97
201612,040012,5,39599545334,2.9928,15055,2909
201512,040012,2,5722292789,0.023,170,46
201612,040014,19,17297747,0,5,2
201612,040002,15,34817351265,0.3557,8222,6166
201512,040072,11,15892646682,2.7976,4341,2915
201512,040044,8,11529167839,2.2014,196,99
201512,040014,10,13005758343,3.6108,871,539
201612,040002,4,11682432474,0.3079,802,623
201612,040014,13,263163689,0,86,64
201612,040002,21,8773919136,0.0129,779,561
201612,040021,2,6394100,0,11,10
201512,040021,22,3042062543,0.0384,9055,29
201612,040072,16,7876411073,0.6726,2963,1818
201512,040002,16,9725708430,0.215,677,391
201512,040044,21,1001908059,0,35,26
201512,040002,5999,8088259160,0.9891,2104,1617
201612,040002,5999,9511094295,0.5691,2206,1687
201512,040044,5999,2813928553,5.2682,75,59
201612,040044,22,44246120,0,6,4
201512,040072,1,6702615366,3.4141,2069,920
201612,040002,5,11426983653,0.8482,2329,1782
201512,040036,8,867743449,1.79,66,49
201512,040012,12,4811836536,0.0491,658,485
201512,040014,6,986922638,0.6549,803,611
201512,040072,23611,9093520833,36.4156,596,265
201512,040072,7,11096375127,0.6971,1575,1209
201512,040044,12,157893528,0,7,6
201512,040002,23,238439358,0.0105,48,34
201512,040072,22,5952853144,0.5044,192,139
201612,040014,21,3434256964,0.2836,600,340
201512,040044,14,2811364490,3.7823,21,12
201512,040044,23,302744280,0,15,9
201612,040072,12,674542363,2.5091,846,688
201512,040021,1,3962947348,4.4686,2959,845
201512,040036,16,2449617853,8.7575,151,103
201612,040012,7,21543886965,0.3322,6806,1140
201512,040012,4,7281350458,0.3619,3187,857
201512,040002,1,9857267924,0.0171,934,532
201512,040036,12,651817080,0.528,119,65
201512,040014,23611,10343278044,31.9287,2145,185
201512,040002,18,52083092,0,1,1
201512,040014,16,16775996270,0.9536,2040,1451
201512,040014,7,8119628014,0.3686,1591,1181
201512,040072,17,568807731,0,1,1
201612,040044,23,676309066,0,8,7
201512,040036,20,423449490,24.9527,96,58
201612,040036,7,4430576032,0.4309,147,100
201612,040021,9,2129619407,0.0235,175,50
201512,040002,8,13401231631,0.0516,1139,696
201612,040021,4,9144859279,0.4627,730,451
201512,040036,2,1592072,43.5787,8,6
201612,040044,2,597184,0,3,2
201612,040021,21,4652196014,0.0159,1944,153
201512,040014,23,596694650,0.6883,225,168
201512,040021,16,1190448756,2.2937,2523,633
201512,040014,14,6962040229,0.0698,91,58
201512,040021,19,1917751,0,7,6
201612,040072,7,13320006639,0.3568,1976,1435
201512,040002,3,62788040958,0.5041,36923,30499
201512,040014,1,10030905245,1.2364,2605,1623
201612,040021,19,4901455,0,6,5
201612,040002,9,6787193574,0.0021,241,167
201612,040044,8,8061867294,3.223,216,110
201612,040021,13,13307776,8.2253,138,64
201512,040014,12,1225425322,0.9629,618,490
201612,040014,15,51820609625,1.036,17645,13265
201512,040012,21,5875740933,0.0489,5694,494
201612,040044,12,132000947,0,29,22
201612,040036,9,10397183217,0,189,10
201612,040021,11,25074557638,2.5735,12184,1255
201612,040014,7,7126956942,0.1611,1702,1240
201512,040012,13,158223650,1.4437,120,83
201612,040036,20,260955568,40.2194,101,61
201512,040002,9,5908492389,0.0256,223,155
201612,040012,2,4325522086,0.0311,131,38
201512,040072,23,401436595,1.0501,152,108
201512,040021,3,24438402552,3.8007,46531,7104
201512,040002,13,79619888,0.1472,92,71
201512,040012,20,4560400049,2.4566,3298,1062
201612,040072,13,158507183,6.0902,500,430
201512,040036,3,5918235235,17.1956,1756,967
201512,040021,5,19045982002,36.4988,6289,1634
201512,040072,6,899993264,1.1228,620,443
201612,040072,2,168746237,3.9375,918,316
201612,040021,3,26899759982,3.7843,33922,7005
201512,040036,5999,38533421405,0.2522,413,197
201612,040036,5999,39653693415,0.157,375,156
201612,040036,2,1036021,4.9763,8,7
201612,040014,6,1645225423,0.0467,735,582
201512,040012,6,1044536543,0.2774,619,375
201612,040021,15,20307242382,4.862,18512,7479
201512,040012,23,481022816,0.6603,439,114
201512,040036,14,604393708,0.0588,34,20
201612,040072,6,701317748,2.541,754,530
201612,040044,14,4641641405,2.3954,32,19
201512,040036,7,6267966068,0.327,203,96
201512,040072,19,465494,0,2,1
201512,040036,10,19957489838,0.02,252,48
201512,040021,12,332534466,1.332,1336,235
201512,040072,2,175867051,8.8032,806,374
201612,040036,11,17053968302,0.784,504,267
201612,040072,8,4190557023,3.3799,1404,786
201512,040021,20,2368802922,7.8925,1670,300
201612,040044,3,27258664960,2.4447,799,569
201512,040044,5,4223586603,11.0014,113,88
201612,040036,3,5674301737,20.5307,1788,1201
201612,040002,18,36092044,0,1,1
201612,040002,1,9947957241,0.0063,896,530
201612,040021,5,14372865349,15.1574,5214,1616
201612,040036,1,534980815,2.6803,84,57
201512,040036,23,149158779,47.8072,17,11
201512,040044,7,3196206837,0,42,30
201512,040021,11,17998447992,5.1333,14328,1209
201512,040036,9,8667996270,0.0008,85,14
201512,040012,14,12464686421,0.4349,796,120
201512,040014,19,15638640,0,4,2
201612,040072,22,5659832595,0.25,244,169
201612,040036,21,388534923,0.2751,45,29
201512,040072,999,1.81997E+11,4.2227,50304,33126
201512,040021,999,1.26254E+11,8.4432,141514,21747
201612,040036,999,1.77262E+11,1.9589,14016,10538
201612,040036,4,937623951,8.4299,81,52
201512,040044,1,6470490441,4.014,207,96
201612,040012,3,73882618447,1.801,105475,19192
201512,040072,15,38472819018,1.6752,10204,7269
201612,040014,2,47855613,6.8059,37,33
201612,040044,21,1912546911,0,54,40
201512,040021,14,4869537508,0.0381,159,70
201512,040012,17,289522867,0,1,1
201512,040002,7,2566250716,0.0275,433,294
201512,040012,11,42665580112,1.1533,37657,4015
201512,040012,8,15406292321,0.7834,29804,1078
201612,040012,11,47034330280,1.5841,41939,4042
201612,040036,15,51202116566,0.9997,9530,7936
201612,040044,10,1220146857,0,30,22
201612,040014,5,36701619207,4.4711,5586,2087
201612,040002,13,106722129,0.1914,88,67
201612,040044,1,7746251334,4.8625,231,113
201612,040072,19,346078,0,2,1
201512,040014,22,6341644940,0.0448,144,70
201512,040012,999,3.22851E+11,1.5548,247405,48481
201612,040044,999,96847198816,2.3456,2736,1832
201612,040014,11,29984927829,3.1119,5359,3381
201612,040002,7,4528715821,0.0008,484,336
201612,040002,16,9717343304,0.0801,752,434
201612,040012,17,283934886,0,1,1
201512,040014,5,34333133103,11.3252,5965,2095
201612,040021,20,2109982870,8.3645,1354,294
201612,040014,22,6699762160,0.0026,120,70
201512,040044,13,5927618,0,3,2
201512,040014,999,2.51734E+11,2.8359,62665,41999
201612,040072,999,2.07349E+11,2.7837,67294,44155
201512,040036,999,1.51433E+11,2.3271,8700,5208
201612,040012,999,3.90103E+11,1.4064,265237,47352
201512,040072,12,837355489,2.4574,669,553
201612,040012,14,12938000136,0.0077,979,142
201512,040044,23611,1409658050,22.4457,38,29
201612,040044,5999,3388535876,4.4757,152,114
201512,040072,5999,28610356225,4.642,2811,1576
201612,040072,5999,32626777965,3.4075,3774,2321
201512,040002,999,2.11931E+11,0.2661,57844,45698
201612,040021,999,1.39699E+11,3.9275,119396,21305
201512,040014,2,50568593,4.6811,39,33
201512,040072,18,760749,0,3,2
201512,040002,4,19306703227,0.0234,741,590
201512,040021,8,6208571394,4.0132,5509,302
201512,040036,6,2778151054,3.499,355,251
201612,040021,23,86387803,0.9813,93,37
201612,040014,8,14516134944,0.3085,1790,1040
201512,040044,10,1429901824,0,23,16
201612,040072,5,40915914289,7.0903,4462,2637
201512,040044,999,77923820204,2.5444,2023,1356
201612,040014,999,2.7553E+11,1.7168,61125,40363
201612,040002,999,2.43785E+11,0.3293,62842,49782
