cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201612,040021,7,21.68,38.48,8.56,0
201612,040012,9,13.09,20.11,7.14,0
201512,040012,23,42.36,55.15,8.26,0
201612,040044,13,27.69,50.63,10.82,0
201612,040072,18,30.71,49.92,16.04,0
201512,040012,6,61.31,93.61,8.23,0
201512,040012,3,21.06,29.68,7.4,0
201612,040036,2,97.23,115.9,20.38,0
201612,040044,16,34.93,50.43,8.5,0
201612,040012,12,57.47,80,8.01,0
201512,040021,13,35.03,44.31,12.93,0
201612,040012,15,59.22,73.39,9.22,0
201512,040021,7,33.72,62.99,6.63,0
201612,040021,1,21.94,27.4,9.42,0
201612,040021,21,16.98,20.59,8.24,0
201512,040044,11,30.45,38.35,5.13,0
201612,040036,5,168.67,201.41,7.98,0
201612,040014,21,21.4,27.08,9.04,0
201512,040072,22,74.36,79.21,5.93,0
201512,040002,6,22.38,28.05,11.9,0
201612,040036,11,61.55,68.23,8.41,0
201612,040072,7,102.83,123.55,8.57,0
201612,040044,22,45.01,59.8,8.82,0
201512,040014,6,45.78,58.77,8.92,0
201512,040014,12,35.16,46.33,8.35,0
201512,040021,21,23.27,26.3,5.87,0
201612,040012,13,31.01,47.54,11.09,0
201612,040021,13,51.56,67.11,19.54,0
201512,040014,1,14.78,20.62,7.58,0
201512,040002,3,23.35,31.22,7.73,0
201512,040014,21,13.95,20.37,6.71,0
201612,040021,23611,14.05,28.52,8.93,0
201612,040002,20,20.25,29.56,8.99,0
201512,040012,7,71.62,94.14,7.14,0
201612,040002,23,23.65,45.31,8.87,0
201612,040014,16,46.41,58.22,9.38,0
201512,040021,20,21.04,26.5,6.65,0
201512,040021,4,29.52,61.92,5.11,0
201612,040021,14,27.09,50.02,5.34,0
201612,040021,8,19.58,25.1,8.32,0
201512,040021,12,47.36,77.44,7.97,0
201612,040072,14,12.54,20.93,8.5,0
201512,040044,7,41.07,58.38,4.93,0
201512,040044,10,25.04,51.27,6.07,0
201612,040044,23,70.4,76.39,9.09,0
201512,040012,22,47.5,56.16,6.81,0
201512,040021,22,23.57,32.83,5.19,0
201512,040002,18,51,73,4.42,0
201612,040036,20,52.97,83.55,9.25,0
201612,040044,10,17.91,53.84,8.36,0
201512,040036,3,36.57,69.92,8.51,0
201512,040036,9,74.75,83.72,7.41,0
201512,040036,6,65.02,86,7.03,0
201612,040014,5,75.52,83.16,8.98,0
201512,040002,10,52.3,60.78,6.39,0
201512,040036,11,32.47,39.22,7.64,0
201512,040014,20,16.55,23.95,7.65,0
201612,040014,23,35.61,49.94,9.21,0
201512,040002,22,44.52,53.98,6.95,0
201512,040014,23,40.02,52.68,7.42,0
201612,040072,4,45.93,56.89,7.76,0
201612,040044,8,40.86,57.19,7.84,0
201612,040072,6,35.26,54.77,11.24,0
201612,040036,10,105.88,118.9,9.5,0
201512,040012,1,26.59,36.19,5.93,0
201612,040072,23,54.88,71.26,10.94,0
201512,040002,5,48.29,68.58,8.28,0
201512,040036,23611,41.58,63.63,8.13,0
201512,040012,23611,35.7,40.93,6.46,0
201512,040072,23611,29.6,35.22,6.84,0
201612,040014,9,5.16,6.72,7.09,0
201612,040072,9,28.01,45.15,9.92,0
201512,040002,14,34.76,43.33,4.35,0
201512,040014,10,74.04,92.93,6.25,0
201512,040012,5999,70.42,86.97,7.07,0
201612,040072,17,155,198,9.57,0
201612,040044,3,47.2,58.36,7.66,0
201612,040036,7,86.97,106.32,9.62,0
201612,040044,11,39.08,48.01,7.75,0
201612,040012,16,54.19,67.38,10.48,0
201512,040012,19,9,48,12.99,0
201512,040044,22,45.29,59.72,6.15,0
201612,040014,13,14.55,19.95,9.6,0
201612,040021,12,43.97,72.01,10.12,0
201612,040036,21,29.76,32.63,9.51,0
201612,040072,5,101.33,113.74,8.89,0
201612,040012,21,19.75,25.25,7.95,0
201612,040021,10,27.53,39.76,8.22,0
201612,040014,1,16.73,23.13,10.01,0
201612,040036,8,20.37,31.59,8.01,0
201612,040014,10,80.7,91.04,9.26,0
201512,040014,5999,54.65,69.88,6.89,0
201512,040021,8,23.23,27.09,6.18,0
201612,040012,20,19.7,27.93,10.16,0
201512,040002,23611,25.1,48.81,6.11,0
201512,040036,20,46.82,65.29,7.93,0
201612,040072,21,21.15,30.04,9.18,0
201612,040002,8,22.79,28.28,7.46,0
201512,040072,7,74.42,92.31,6.5,0
201512,040036,8,37.59,47.73,6.22,0
201512,040014,14,4.08,4.88,4.3,0
201612,040036,22,72,73.42,9.68,0
201512,040072,8,26.79,33.96,7.55,0
201612,040002,6,22.77,29.69,12.53,0
201612,040021,22,23.03,31.48,7.94,0
201612,040021,19,28.44,36.69,12.89,0
201612,040012,6,47.42,65.53,10.14,0
201612,040014,4,23.63,34.82,8.68,0
201512,040072,16,55.2,73.42,7.57,0
201512,040036,2,31.29,46.77,19.1,0
201512,040036,7,25.27,54.13,8.74,0
201512,040044,3,44.36,60.35,5.19,0
201612,040002,21,18.23,30.42,8.32,0
201612,040044,6,39.33,69.63,8.83,0
201512,040036,15,48.33,62.48,7.19,0
201612,040002,4,19.98,25.86,7.02,0
201512,040002,9,17.69,24.14,4.3,0
