cve_periodo,cve_institucion,calificacion,n_total
201612,040002,A1,62842
201612,040012,A1,207282
201612,040012,A2,36314
201612,040012,B1,7705
201612,040012,B2,2342
201612,040012,B3,4816
201612,040012,CDE,6587
201612,040012,PM,191
201612,040014,A1,37982
201612,040014,A2,10354
201612,040014,B1,1967
201612,040014,B2,2981
201612,040014,B3,3126
201612,040014,CDE,4720
201612,040021,A1,47526
201612,040021,A2,32885
201612,040021,B1,16927
201612,040021,B2,4120
201612,040021,B3,6376
201612,040021,CDE,11562
201612,040036,A1,1374
201612,040036,A2,3817
201612,040036,B1,800
201612,040036,B2,404
201612,040036,B3,2091
201612,040036,CDE,5530
201612,040044,A1,1125
201612,040044,A2,545
201612,040044,B1,424
201612,040044,B2,221
201612,040044,B3,230
201612,040044,CDE,195
201612,040072,CDE,616
201612,040072,PM,66678
201512,040002,A1,57844
201512,040012,A1,194076
201512,040012,A2,30526
201512,040012,B1,5929
201512,040012,B2,3907
201512,040012,B3,5735
201512,040012,CDE,7041
201512,040012,PM,191
201512,040014,A1,7887
201512,040014,A2,2128
201512,040014,B1,537
201512,040014,B2,207
201512,040014,B3,189
201512,040014,CDE,462
201512,040014,PM,51260
201512,040021,A1,36693
201512,040021,A2,34968
201512,040021,B1,33268
201512,040021,B2,5049
201512,040021,B3,14940
201512,040021,CDE,16596
201512,040036,A1,1305
201512,040036,A2,1858
201512,040036,B1,399
201512,040036,B2,178
201512,040036,B3,2213
201512,040036,CDE,2747
201512,040044,A1,1560
201512,040044,A2,109
201512,040044,B1,52
201512,040044,B2,21
201512,040044,B3,68
201512,040044,CDE,216
201512,040072,A1,1
201512,040072,CDE,626
201512,040072,PM,49677
