cve_periodo,cve_institucion,calificacion,tasa,cve_tipo_moneda
201612,040021,CDE,9.4573,0
201512,040036,CDE,11.0121,0
201512,040014,CDE,7.0759,0
201612,040072,CDE,8.3732,0
201512,040021,A2,6.8053,0
201612,040036,A2,9.401,0
201612,040014,A1,9.5197,0
201512,040002,A1,6.7572,0
201612,040021,A1,8.1961,0
201512,040036,A1,6.5518,0
201612,040014,B3,12.0568,0
201612,040012,B2,11.3397,0
201512,040012,B2,8.817,0
201612,040044,B2,8.269,0
201512,040072,PM,7.5341,0
201612,040036,A1,8.1856,0
201512,040044,A1,5.4307,0
201612,040002,A1,8.4151,0
201612,040012,A1,9.1547,0
201612,040012,CDE,12.1822,0
201512,040012,CDE,9.7282,0
201612,040044,CDE,8.031,0
201512,040044,A2,5.6037,0
201612,040014,A2,10.2889,0
201512,040014,PM,9.9091,0
201612,040072,PM,9.5382,0
201512,040014,A1,5.7789,0
201512,040012,A1,7.2234,0
201612,040044,A1,7.6569,0
201512,040072,CDE,6.188,0
201512,040021,CDE,8.4522,0
201612,040021,B3,10.2004,0
201512,040036,B3,7.9602,0
201512,040014,B3,6.6338,0
201612,040012,B3,11.0649,0
201612,040021,A2,8.4776,0
201512,040036,A2,7.4771,0
201512,040014,A2,6.165,0
201612,040012,PM,17.1933,0
201512,040012,PM,10.2453,0
201612,040036,CDE,12.2483,0
201512,040044,CDE,6.8614,0
201612,040014,CDE,12.564,0
201512,040012,B3,9.5652,0
201612,040044,B3,7.5746,0
201512,040021,B2,6.4324,0
201612,040014,B1,10.1072,0
201612,040021,B1,8.9419,0
201612,040036,B2,9.9505,0
201512,040044,B2,5.8005,0
201512,040036,B1,6.7679,0
201512,040014,B1,6.8882,0
201612,040012,B1,10.6897,0
201512,040021,B3,9.7305,0
201612,040036,B3,9.5119,0
201512,040044,B3,5.4268,0
201612,040014,B2,11.4828,0
201612,040021,B2,9.2858,0
201512,040036,B2,5.4794,0
201512,040014,B2,6.8327,0
201512,040012,B1,8.9284,0
201612,040044,B1,7.5753,0
201612,040012,A2,10.6936,0
201512,040012,A2,8.2481,0
201612,040044,A2,7.8596,0
201512,040021,B1,8.3015,0
201612,040036,B1,8.3997,0
201512,040044,B1,6.5749,0
201512,040021,A1,5.8286,0
201612,040021,CDE,4.5969,1
201512,040036,CDE,7.4321,1
201512,040014,CDE,6.0723,1
201612,040072,CDE,4.7971,1
201512,040021,A2,2.3887,1
201612,040036,A2,4.8703,1
201612,040014,A1,3.6316,1
201512,040002,A1,2.016,1
201612,040021,A1,3.9149,1
201512,040036,A1,5.2268,1
201612,040014,B3,4.7683,1
201612,040012,B2,4.3294,1
201512,040012,B2,3.245,1
201612,040044,B2,3.4819,1
201512,040072,PM,3.9733,1
201612,040036,A1,5.6227,1
201512,040044,A1,2.2847,1
201612,040002,A1,2.7211,1
201612,040012,A1,3.4506,1
201612,040012,CDE,6.3499,1
201512,040012,CDE,4.7556,1
201612,040044,CDE,4.2885,1
201512,040044,A2,3.884,1
201612,040014,A2,3.9603,1
201512,040014,PM,3.9533,1
201612,040072,PM,4.2938,1
201512,040014,A1,3.2595,1
201512,040012,A1,3.1109,1
201612,040044,A1,3.5687,1
201512,040072,CDE,4.4659,1
201512,040021,CDE,3.2837,1
201612,040021,B3,3.4273,1
201512,040036,B3,5.4536,1
201512,040014,B3,5.023,1
201612,040012,B3,3.6811,1
201612,040021,A2,3.1574,1
201512,040036,A2,4.5196,1
201512,040014,A2,3.7192,1
201612,040012,PM,7.5537,1
201512,040012,PM,6.7127,1
201612,040036,CDE,8.2965,1
201512,040044,CDE,5.3805,1
201612,040014,CDE,4.9035,1
201512,040012,B3,4.6183,1
201612,040044,B3,3.4507,1
201512,040021,B2,3.6946,1
201612,040014,B1,4.6312,1
201612,040021,B1,2.5365,1
201612,040036,B2,5.1026,1
201512,040036,B1,3.5088,1
201512,040014,B1,3.3022,1
201612,040012,B1,3.9627,1
201512,040021,B3,2.6688,1
201612,040036,B3,5.7319,1
201512,040044,B3,3.9516,1
201612,040014,B2,5.3104,1
201612,040021,B2,4.3533,1
201512,040036,B2,5.3516,1
201512,040014,B2,4.2119,1
201512,040012,B1,3.5595,1
201612,040044,B1,3.2425,1
201612,040012,A2,3.632,1
201512,040012,A2,2.9293,1
201612,040044,A2,3.8718,1
201512,040021,B1,3.0617,1
201612,040036,B1,4.9551,1
201512,040044,B1,4.2295,1
201512,040021,A1,3.3505,1
201612,040014,A1,10,2
201512,040002,A1,0.1248,2
201612,040002,A1,0.0233,2
201612,040012,CDE,8.9866,2
201512,040014,PM,10,2
201612,040014,CDE,10,2
201612,040012,A2,9.3651,2
201512,040072,A1,10,2
