cve_periodo,cve_institucion,cve_estado,cartera_total,imor,creditos,acreditados
201512,040014,31,3360549953,1.2225,877,613
201512,040012,17,1389833749,8.486,4416,483
201512,040021,29,388914213,0.6941,498,118
201512,040036,15,11374241147,3.3012,683,397
201512,040044,4,110409738,0,9,6
201512,040072,3,1525643076,0.4484,817,486
201512,040002,28,3479946565,0.3158,1104,914
201512,040014,4,1682956614,1.1067,285,232
201612,040021,31,1318954800,1.5716,2001,682
201612,040044,19,16015257883,0.4257,197,138
201512,040002,8,4103532898,0.296,1571,1189
201512,040002,19,22297026877,0.2196,2925,2333
201512,040012,10,2579110005,0.6133,1120,442
201512,040012,32,454940836,1.143,730,415
201512,040021,25,7574433504,39.6638,11531,589
201512,040036,2,52643177,34.2549,116,79
201512,040044,27,624243010,0,12,8
201512,040002,10,1459742795,0.1232,517,415
201512,040012,3,1125540088,0.9612,628,401
201512,040012,28,4797271384,1.4456,2254,864
201512,040014,27,1989734603,2.4928,639,482
201512,040014,30,7859602153,5.1531,2674,1839
201512,040036,9,1.03445E+11,1.6457,3636,1881
201512,040036,13,85099631,9.5842,75,54
201512,040044,10,740878282,0,27,16
201512,040012,6,1618170720,0.1549,2580,314
201512,040014,18,506536605,1.3722,316,255
201512,040014,24,2848478124,0.6391,1278,528
201512,040014,99,2.51734E+11,2.8359,62670,42112
201512,040021,21,4910844858,1.5527,3357,843
201512,040036,10,102650684,9.0286,55,33
201512,040036,28,2171376123,3.5117,143,81
201512,040072,24,2262492648,1.1688,1188,831
201512,040044,99,77923820204,2.5444,2026,1361
201612,040002,17,1371873205,3.1588,862,724
201612,040002,20,756855835,1.0637,1272,984
201612,040014,1,1390133641,1.6714,714,471
201612,040014,13,2195929856,0.4013,710,516
201612,040021,24,821525177,0.5948,2767,376
201612,040036,1,21648080,16.6644,189,165
201612,040036,30,741811500,2.2021,555,460
201612,040072,12,574980584,3.0189,496,373
201612,040072,15,10633054451,2.2602,4360,3087
201512,040012,5,6005412013,1.2493,13885,1175
201512,040014,12,683301419,2.7726,722,555
201512,040014,20,1278120989,0.6845,608,400
201512,040036,20,16219265,6.4561,85,61
