cve_institucion,cve_periodo,cve_tipo_garantia,tasa_ponderada,cve_tipo_moneda
040002,201512,0,5.2442,0
040002,201512,1,5.3921,0
040002,201512,2,,0
040002,201512,3,6.0478,0
040002,201512,4,4.882,0
040002,201512,5,4.1147,0
040002,201512,6,6.8754,0
040002,201512,7,6.2515,0
040002,201512,8,,0
040002,201512,9,7.1478,0
040002,201512,10,,0
040002,201612,0,6.8471,0
040002,201612,1,7.2044,0
040002,201612,2,,0
040002,201612,3,6.673,0
040002,201612,4,5.1659,0
040002,201612,5,5.7267,0
040002,201612,6,8.4431,0
040002,201612,7,7.5389,0
040002,201612,8,,0
040002,201612,9,8.2845,0
040002,201612,10,,0
040012,201512,0,5.4446,0
040012,201512,1,5.2533,0
040012,201512,2,,0
040012,201512,3,4.9769,0
040012,201512,4,6.0442,0
040012,201512,5,4.8146,0
040012,201512,6,5.9347,0
040012,201512,7,,0
040012,201512,8,5.477,0
040012,201512,9,10.6019,0
040012,201512,10,5.3807,0
040012,201612,0,6.9497,0
040012,201612,1,6.7936,0
040012,201612,2,,0
040012,201612,3,5.996,0
040012,201612,4,7.2507,0
040012,201612,5,5.6329,0
040012,201612,6,7.5356,0
040012,201612,7,,0
040012,201612,8,7.5176,0
040012,201612,9,11.3719,0
040012,201612,10,7.0755,0
040014,201512,0,5.9953,0
040014,201512,1,,0
040014,201512,2,5.7288,0
040014,201512,3,6.3788,0
040014,201512,4,6.2499,0
040014,201512,5,7.7225,0
040014,201512,6,,0
040014,201512,7,,0
040014,201512,8,5.5198,0
040014,201512,9,5.2245,0
040014,201512,10,5.7358,0
040014,201612,0,7.8887,0
040014,201612,1,,0
040014,201612,2,8.1301,0
040014,201612,3,7.7054,0
040014,201612,4,7.9256,0
040014,201612,5,8.0522,0
040014,201612,6,,0
040014,201612,7,,0
040014,201612,8,6.7733,0
040014,201612,9,7.7078,0
040014,201612,10,5.3846,0
040021,201512,0,5.9696,0
040021,201512,1,,0
040021,201512,2,,0
040021,201512,3,13.1532,0
040021,201512,4,6.2689,0
040021,201512,5,8.47,0
040021,201512,6,5.3836,0
040021,201512,7,,0
040021,201512,8,7.5599,0
040021,201512,9,6.7872,0
040021,201512,10,6.3061,0
040021,201612,0,7.2532,0
040021,201612,1,,0
040021,201612,2,,0
040021,201612,3,13.1532,0
040021,201612,4,7.3105,0
040021,201612,5,,0
040021,201612,6,7.2572,0
040021,201612,7,,0
040021,201612,8,9.1,0
040021,201612,9,9.3535,0
040021,201612,10,8.7216,0
040036,201512,0,5.9804,0
040036,201512,1,7.9457,0
040036,201512,2,,0
040036,201512,3,10.5119,0
040036,201512,4,6.5299,0
040036,201512,5,,0
040036,201512,6,13,0
040036,201512,7,5.36,0
040036,201512,8,,0
040036,201512,9,,0
040036,201512,10,,0
040036,201612,0,6.7972,0
040036,201612,1,12.9817,0
040036,201612,2,,0
040036,201612,3,12.3228,0
040036,201612,4,6.5387,0
040036,201612,5,,0
040036,201612,6,13,0
040036,201612,7,7.6,0
040036,201612,8,,0
040036,201612,9,,0
040036,201612,10,,0
040044,201512,0,4.8432,0
040044,201512,1,4.9845,0
040044,201512,2,5.741,0
040044,201512,3,4.6558,0
040044,201512,4,5.4674,0
040044,201512,5,4.7,0
040044,201512,6,3.7002,0
040044,201512,7,4.8406,0
040044,201512,8,,0
040044,201512,9,6.1512,0
040044,201512,10,5.4643,0
040044,201612,0,7.0718,0
040044,201612,1,7.1466,0
040044,201612,2,7.7336,0
040044,201612,3,7.7158,0
040044,201612,4,6.8729,0
040044,201612,5,,0
040044,201612,6,7.9996,0
040044,201612,7,6.8876,0
040044,201612,8,,0
040044,201612,9,7.8601,0
040044,201612,10,6.6456,0
040072,201512,0,6.8039,0
040072,201512,1,6.1991,0
040072,201512,2,4.8735,0
040072,201512,3,5.4877,0
040072,201512,4,5.9417,0
040072,201512,5,7.9376,0
040072,201512,6,,0
040072,201512,7,6.0816,0
040072,201512,8,7.4333,0
040072,201512,9,5.83,0
040072,201512,10,6.405,0
040072,201612,0,8.4915,0
040072,201612,1,7.9467,0
040072,201612,2,6.0064,0
040072,201612,3,8.6823,0
040072,201612,4,7.3637,0
040072,201612,5,8.3306,0
040072,201612,6,,0
040072,201612,7,9.7353,0
040072,201612,8,9.5317,0
040072,201612,9,7.99,0
040072,201612,10,7.6173,0
