cve_institucion,cve_periodo,cve_concepto,dato
40002,201611,1,62807
40002,201611,2,49746
40002,201611,3,8.017
40002,201611,4,2.6944
40002,201611,5,10
40002,201611,6,30
40002,201611,7,2.45614E+11
40012,201611,1,266922
40012,201611,2,48169
40012,201611,3,8.4994
40012,201611,4,3.4861
40012,201611,5,9.2614
40012,201611,6,44
40012,201611,7,3.88918E+11
40014,201611,1,61403
40014,201611,2,40489
40014,201611,3,8.8981
40014,201611,4,3.6603
40014,201611,5,10
40014,201611,6,39
40014,201611,7,2.84894E+11
40021,201611,1,120758
40021,201611,2,21664
40021,201611,3,8.0643
40021,201611,4,3.6984
40021,201611,6,25
40021,201611,7,1.39767E+11
40030,201611,1,50679
40030,201611,2,10268
40030,201611,3,8.9066
40030,201611,4,5.8518
40030,201611,6,47
40030,201611,7,91920177727
40036,201611,1,14608
40036,201611,2,11000
40036,201611,3,7.549
40036,201611,4,5.2163
40036,201611,6,94
40036,201611,7,1.92223E+11
40037,201611,1,105
40037,201611,2,82
40037,201611,3,9.06
40037,201611,4,6.028
40037,201611,6,129
40037,201611,7,22423032875
40042,201611,1,734
40042,201611,2,546
40042,201611,3,9.6657
40042,201611,4,4.9299
40042,201611,6,54
40042,201611,7,14805292595
40044,201611,1,2694
40044,201611,2,1805
40044,201611,3,7.4214
40044,201611,4,3.5334
40044,201611,6,44
40044,201611,7,96614638117
40058,201611,1,18125
40058,201611,2,13438
40058,201611,3,9.4493
40058,201611,4,5.3378
40058,201611,6,41
40058,201611,7,59687118365
40059,201611,1,374
40059,201611,2,281
40059,201611,3,9.5304
40059,201611,4,6.2397
40059,201611,6,44
40059,201611,7,12506572868
40060,201611,1,988
40060,201611,2,452
40060,201611,3,10.9719
40060,201611,6,86
40060,201611,7,6086054282
40062,201611,1,9563
40062,201611,2,4411
40062,201611,3,10.2997
40062,201611,4,5.173
40062,201611,6,21
40062,201611,7,12145795511
40072,201611,1,67472
40072,201611,2,44387
40072,201611,3,8.944
40072,201611,4,4.2691
40072,201611,5,10
40072,201611,6,66
40072,201611,7,2.00431E+11
40102,201611,1,181
40102,201611,2,151
40102,201611,3,14.8977
40102,201611,4,8.21
40102,201611,6,21
40102,201611,7,1992654234
40106,201611,1,39
40106,201611,2,28
40106,201611,3,6.794
40106,201611,4,2.549
40106,201611,6,7
40106,201611,7,4453963630
40108,201611,1,57
40108,201611,2,51
40108,201611,3,6.1505
40108,201611,4,2.3232
40108,201611,6,38
40108,201611,7,7859633282
40110,201611,1,46
40110,201611,2,38
40110,201611,3,6.0356
40110,201611,4,2.8911
40110,201611,6,1
40110,201611,7,5897230250
40112,201611,1,12296
40112,201611,2,301
40112,201611,3,8.2698
40112,201611,4,3.9648
40112,201611,6,34
40112,201611,7,16404673862
40113,201611,1,3966
40113,201611,2,3331
40113,201611,3,9.6917
40113,201611,4,5.0316
40113,201611,6,32
40113,201611,7,20378267190
40127,201611,1,34
40127,201611,2,28
40127,201611,3,8.0064
40127,201611,4,6.5311
40127,201611,6,87
40127,201611,7,19752781386
40128,201611,1,602
40128,201611,2,167
40128,201611,3,9.6893
40128,201611,6,26
40128,201611,7,2500361465
40131,201611,1,7017
40131,201611,2,6688
40131,201611,3,10.6626
40131,201611,6,37
40131,201611,7,3572429879
40132,201611,1,1355
40132,201611,2,539
40132,201611,3,9.1268
40132,201611,6,76
40132,201611,7,20961040705
40133,201611,1,432
40133,201611,2,319
40133,201611,3,8.8522
40133,201611,6,36
40133,201611,7,6921118208
40136,201611,1,329
40136,201611,2,285
40136,201611,3,8.7503
40136,201611,4,4.3922
40136,201611,6,27
40136,201611,7,5681903790
40137,201611,1,123
40137,201611,2,109
40137,201611,3,8.3217
40137,201611,6,13
40137,201611,7,2302752739
40138,201611,1,5805
40138,201611,2,326
40138,201611,3,11.2327
40138,201611,6,21
40138,201611,7,4173595555
40140,201611,1,1
40140,201611,2,1
40140,201611,3,9
40140,201611,6,11
40140,201611,7,48000000
40143,201611,1,297
40143,201611,2,187
40143,201611,3,8.954
40143,201611,4,4.4395
40143,201611,6,36
40143,201611,7,3899063877
40145,201611,1,1595
40145,201611,2,302
40145,201611,3,8.7346
40145,201611,4,4.8967
40145,201611,6,20
40145,201611,7,4002074415
40147,201611,1,10864
40147,201611,2,3907
40147,201611,3,11.9533
40147,201611,4,5.1069
40147,201611,6,32
40147,201611,7,2272715508
40150,201611,1,596
40150,201611,2,293
40150,201611,3,10.3719
40150,201611,6,25
40150,201611,7,3756901088
40151,201611,1,2
40151,201611,2,2
40151,201611,3,11.6544
40151,201611,6,21
40151,201611,7,71075693
40152,201611,1,632
40152,201611,2,360
40152,201611,3,9.548
40152,201611,6,47
40152,201611,7,5803010008
40154,201611,1,778
40154,201611,2,557
40154,201611,3,10.7676
40154,201611,4,7.1155
40154,201611,6,30
40154,201611,7,3273466197
40155,201611,1,1
40155,201611,2,1
40155,201611,3,10.07
40155,201611,6,60
40155,201611,7,160044745
40156,201611,1,137
40156,201611,2,127
40156,201611,3,7.9827
40156,201611,4,3.4517
40156,201611,6,42
40156,201611,7,3793869322
5,201611,1,724417
5,201611,2,214308
5,201611,3,8.5499
5,201611,4,3.921
5,201611,5,9.2924
5,201611,6,49
5,201611,7,1.91797E+12
