cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201611,40143,5,0,18691014
201611,40132,3,2,60579430
201611,40145,2,3,149
201611,40044,2,3,730
201611,40058,5,1,321821166
201611,40132,4,2,577126970
201611,40150,4,1,1286352774
201611,40030,4,1,57547469074
201611,40021,5,0,1936750138
201611,40108,4,0,7337616108
201611,40060,4,0,4008156801
201611,40156,1,4,19
201611,40145,1,3,62
201611,40037,3,1,52431827
201611,40156,2,0,318901692
201611,40113,4,0,12076863050
201611,40021,4,4,927
201611,40021,3,0,3186951028
201611,40131,4,1,2357002108
201611,40110,3,1,44843444
201611,40136,2,2,26472156
201611,40113,3,1,1249179273
201611,40106,3,3,6
201611,40037,3,0,54045065
201611,40145,1,1,229192100
201611,40151,2,3,2
201611,40110,1,4,2
201611,40102,2,0,677586707
201611,40138,1,1,544260287
201611,40042,1,3,122
201611,40138,2,3,2299
201611,40014,1,0,45626802765
201611,40128,4,0,1742113105
201611,5,3,1,65114994140
201611,40072,4,0,1.43649E+11
201611,40058,1,3,13746
201611,40150,2,0,1292924164
201611,40036,5,3,374
201611,40059,4,2,253013103
201611,40154,3,2,13472891
201611,40156,3,3,25
201611,40110,4,0,5804845110
201611,40113,4,4,237
201611,40147,1,1,607769334
201611,40150,3,2,28654516
201611,40012,5,3,39
201611,40021,5,3,32
201611,40128,1,3,51
201611,40021,2,1,6477401303
201611,40156,4,4,66
201611,40110,2,1,0
201611,40058,5,3,5
201611,40112,2,2,49485986
201611,40030,3,2,163405168
201611,40132,1,0,794495308
201611,40058,3,2,125816357
201611,40108,2,0,265738116
201611,40127,1,0,246315
201611,40044,1,2,70371055
201611,40012,2,3,39718
201611,40133,2,1,404621529
201611,40044,4,4,630
201611,40152,1,1,712296339
201611,40106,3,0,45861654
201611,40044,3,1,3550794587
201611,40060,1,4,231
201611,40002,3,0,9031602718
201611,40044,3,2,174652292
201611,40021,5,1,1542004979
201611,40072,4,2,1505586171
201611,40112,4,1,15296192837
201611,40036,5,1,48570088853
201611,40133,3,4,11
201611,40151,2,1,71075693
201611,40145,3,1,451282276
201611,40136,1,1,167039471
201611,40021,2,4,7278
201611,5,4,0,1.44079E+12
201611,40155,4,1,160044745
201611,40072,1,3,31020
201611,40044,3,3,350
201611,40145,1,2,1588429
201611,40106,3,1,17134757
201611,40014,2,3,22212
201611,40012,4,0,3.08039E+11
201611,40112,3,3,623
201611,40002,1,4,11413
201611,40140,4,0,48000000
201611,40044,1,1,1891748583
201611,40014,2,2,838143441
201611,40136,1,4,80
201611,40058,4,2,51377223
201611,40112,1,1,274764598
201611,40002,1,2,163916414
201611,40062,4,3,726
201611,40012,1,2,3693801165
201611,40106,4,3,28
201611,40058,3,3,1123
201611,40143,4,2,39605186
201611,40012,3,0,13070016034
201611,40154,2,0,1072115810
201611,40108,1,0,117119616
201611,40143,3,0,170101655
201611,40059,4,4,165
201611,40152,4,4,74
201611,40037,5,4,8
201611,40014,1,4,45025
201611,40156,1,1,223504385
201611,40132,1,3,275
201611,40152,2,1,1083380232
201611,40133,1,0,445852841
201611,40133,1,3,241
201611,40132,4,1,16928710042
201611,40037,4,3,59
201611,40138,1,4,76
201611,40058,4,0,31057435844
201611,40112,3,2,6723627
201611,40136,4,1,4728437621
201611,40132,1,2,25921961
201611,40147,3,2,13920049
201611,5,4,4,6034
201611,40014,2,1,35683411612
201611,40072,2,3,33129
201611,40132,5,4,1
201611,40145,5,1,41036244
201611,40136,1,3,86
201611,40154,3,0,234188408
201611,40131,3,1,135626196
201611,40152,2,0,1130613578
201611,40102,1,1,217390189
201611,40058,2,2,404303933
201611,40002,4,1,1.87775E+11
201611,40113,1,1,2825294447
201611,40014,1,1,44600371813
201611,40145,4,4,86
201611,40112,2,0,525121022
201611,40152,4,2,26884833
201611,40147,2,0,776104877
201611,40062,2,3,5569
201611,40145,5,3,2
201611,40044,4,2,1415237509
201611,40072,2,1,26773425288
201611,40136,4,4,98
201611,40138,1,3,1645
201611,40138,4,3,1917
201611,40112,4,3,15588
201611,40154,2,1,925735901
201611,40137,1,3,32
201611,40102,2,4,70
201611,40133,3,2,7084678
201611,40072,5,4,17
201611,40059,2,0,874409743
201611,40131,3,0,138829490
201611,40059,1,0,294605843
201611,40062,1,4,2126
201611,40145,2,0,718275274
201611,40113,4,3,366
201611,40138,3,2,20197240
201611,40131,1,4,6472
201611,40062,1,3,4865
201611,40145,1,4,49
201611,40072,3,0,7219832984
201611,40042,1,4,105
201611,40127,5,1,8261745037
201611,40058,2,1,15215882867
201611,40156,2,4,21
201611,40137,4,1,1703642337
201611,40154,1,1,376818910
201611,40113,3,4,157
201611,40062,1,2,112350070
201611,40143,1,3,73
201611,40106,3,4,3
201611,40138,3,1,513467488
201611,40147,2,4,99
201611,40137,3,1,196596383
201611,5,4,3,381789
201611,40037,5,0,4146129018
201611,40136,2,0,430476926
201611,40131,4,0,2357928487
201611,40131,2,3,524
201611,40059,4,3,230
201611,40110,2,3,1
201611,40152,3,3,60
201611,40138,4,4,60
201611,40143,4,1,3083141237
201611,40137,2,3,45
201611,40112,3,0,298346484
201611,40154,3,3,30
201611,40112,3,4,38
201611,40113,2,2,202896217
201611,40132,5,1,152425709
201611,40128,1,2,8779869
201611,40133,2,0,421518277
201611,40145,3,3,83
201611,40131,2,2,50913704
201611,5,1,3,443648
201611,40127,4,4,14
201611,40021,3,1,2921988086
201611,40012,4,1,3.05841E+11
201611,40127,4,3,18
201611,40002,5,0,1068923160
201611,40152,2,2,47233346
201611,40062,3,2,75573564
201611,40108,1,3,6
201611,40133,1,2,42249316
201611,40030,3,1,5843929154
201611,40042,4,2,34042066
201611,40127,5,4,7
201611,40012,2,2,1341692109
201611,40072,1,0,13117622324
201611,40113,2,4,969
201611,40156,4,1,2861009220
201611,40140,4,4,1
201611,5,5,4,99
201611,40037,3,4,3
201611,40147,3,0,170235347
201611,40154,3,4,17
201611,40037,2,0,231114377
201611,40143,5,4,1
201611,40136,3,3,36
201611,40062,1,1,1636865675
201611,40060,2,0,890206777
201611,40131,4,3,94
201611,40128,2,3,102
201611,40106,4,0,4342930008
201611,40133,4,4,54
201611,5,3,2,2867004627
201611,40030,1,4,4431
201611,40036,3,3,240
201611,5,2,3,210251
201611,40137,4,3,32
201611,40133,1,1,403603525
201611,40136,2,1,404004770
201611,40058,1,4,9909
201611,40037,4,1,17911098245
201611,40106,1,0,11158106
201611,40152,3,4,38
201611,40021,5,2,394745159
201611,40145,3,4,56
201611,40128,3,2,29394290
201611,40012,4,3,243370
201611,40127,2,3,6
201611,40147,2,2,69137097
201611,5,4,2,17204411616
201611,40156,4,3,72
201611,40102,3,3,36
201611,40012,4,2,2197615328
201611,40152,2,4,158
201611,40072,1,1,12350330587
201611,40002,2,1,34890049148
201611,40138,4,0,1964625854
201611,40133,3,0,120134949
201611,40147,3,3,24
201611,40042,2,2,152027887
201611,40036,1,2,255174526
201611,40127,2,4,5
201611,40062,2,4,2044
201611,5,2,1,1.91715E+11
201611,40002,3,2,100347363
201611,40036,1,0,1547617374
201611,40137,3,3,20
201611,40106,2,1,54013862
201611,40058,4,1,31006058621
201611,40108,2,3,14
201611,40036,5,4,19
201611,40036,5,2,1056115
201611,40150,2,3,241
201611,40154,4,1,1428254593
201611,40030,2,2,329664469
201611,40152,4,3,174
201611,40136,3,4,30
201611,40060,4,3,288
201611,40102,1,0,288964991
201611,40150,4,3,168
201611,40102,1,2,71574802
201611,40131,3,2,3203294
201611,40062,2,2,170211625
201611,40147,4,3,55
201611,40143,1,4,60
201611,40030,4,0,57822276271
201611,40131,3,4,31
201611,40072,5,0,8089387110
201611,40112,1,0,285013519
201611,40030,5,1,1532784932
201611,40012,1,0,68213247803
201611,40150,4,0,1289735077
201611,40059,1,1,294605843
201611,40110,3,4,2
201611,40110,2,4,1
201611,40150,1,3,151
201611,40072,4,1,1.42143E+11
201611,40059,3,0,667729463
201611,40058,5,4,2
201611,40036,3,4,121
201611,40133,3,1,113050271
201611,40145,2,1,718275274
201611,40150,2,2,26693262
201611,40030,1,2,142705743
201611,40012,4,4,1999
201611,40036,4,2,2769135061
201611,40110,1,0,47541696
201611,40137,1,2,5993079
201611,40058,2,3,9482
201611,40150,2,1,1266230902
201611,40113,1,2,111256198
201611,40127,2,1,21944270
