cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40131,19,1,1888,1771,313363168
201611,40112,11,4,441,8,394471270
201611,40113,15,3,18,13,149310104
201611,40133,14,4,2,2,53824000
201611,40136,22,1,5,4,2403038
201611,40133,16,2,1,1,83781
201611,40012,25,1,3005,2254,998230334
201611,40014,22,2,376,215,725979899
201611,40036,31,4,57,9,664625086
201611,40113,17,1,2,2,14066135
201611,40058,29,4,1,1,10046603
201611,40132,15,4,31,12,1165336194
201611,40058,31,2,51,28,162459402
201611,40036,3,3,2,1,95634
201611,40132,22,3,2,2,9089644
201611,40110,999,4,4,3,387691880
201611,40137,21,1,3,3,9979971
201611,40002,11,2,1895,1539,1483441538
201611,40138,19,2,440,14,102433350
201611,40133,15,3,2,2,11793213
201611,40002,12,1,146,123,85082368
201611,40014,23,1,1116,775,856247814
201611,40131,24,2,5,5,68704
201611,40030,28,1,221,71,143265516
201611,40112,999,3,1,1,12218159
201611,40058,26,4,60,22,792534932
201611,40036,32,3,1,1,114722
201611,40002,14,2,3418,2727,3124836306
201611,40021,15,3,103,37,299092863
201611,40143,23,3,4,2,36754803
201611,40030,6,4,23,8,423261538
201611,40014,32,2,186,109,273161966
201611,40147,26,4,1,1,11347655
201611,40145,28,4,2,2,13194475
201611,40062,28,4,32,5,45650860
201611,40062,30,2,5,3,2714938
201611,40138,26,4,10,7,155598863
201611,40058,16,3,11,9,75039054
201611,40112,22,2,1,1,830800
201611,40131,30,2,2,2,170866
201611,40132,25,3,2,2,39836411
201611,40002,29,1,44,34,51741728
201611,40136,8,4,1,1,45181041
201611,40113,25,2,55,44,127805255
201611,40062,23,2,18,2,8780622
201611,40147,27,2,2,2,7590506
201611,40131,8,1,184,181,10597206
201611,40002,28,2,918,770,586352649
201611,40058,17,2,4,2,16254940
201611,40060,10,1,6,1,336368
201611,40131,28,1,406,393,8848781
201611,40136,30,2,1,1,10263
201611,40150,19,4,11,5,260737011
201611,40042,11,3,1,1,341467
201611,40147,26,3,2,2,23735685
201611,40014,3,4,42,8,1576491208
201611,40137,32,2,2,1,2858054
201611,40012,7,2,467,244,319394018
201611,40147,28,4,3,1,29213882
201611,40138,28,2,13,2,723979
201611,40136,31,1,3,3,5186219
201611,40113,20,2,3,3,3485055
201611,40002,4,2,261,232,114633504
201611,40021,20,2,229,85,54496039
201611,40021,14,5,3,1,152311353
201611,40150,21,3,10,4,47623547
201611,40072,4,2,144,102,98431403
201611,40021,18,4,3,2,56285
201611,40150,22,2,15,6,83309142
201611,40021,19,3,654,25,164053524
201611,40150,23,1,2,1,2365189
201611,40021,17,2,193,77,25493640
201611,40060,19,3,1,1,11657506
201611,40110,14,3,1,1,44234519
201611,40030,16,1,1393,406,1223588124
201611,40112,7,2,1,1,10020238
201611,40014,16,2,534,318,666005631
201611,40112,5,4,13,4,488915895
201611,40012,16,4,353,51,4372678052
201611,40044,32,4,2,1,14975333
201611,40113,8,4,18,7,153390877
201611,40112,8,1,1,1,0
201611,40036,6,3,4,3,408120
201611,40014,15,3,208,98,910937498
201611,40021,1,1,418,170,28137372
201611,40062,10,3,3,2,5904682
201611,40021,28,3,52,13,53731301
201611,40058,5,2,493,275,970127279
201611,40062,12,1,81,43,19170174
201611,40036,8,1,384,335,41517498
201611,40059,4,4,1,1,20105515
201611,40072,9,3,583,300,1482541735
201611,40072,10,2,455,237,347239271
201611,40058,14,3,108,54,334603777
201611,40147,31,2,3,1,11390596
201611,40059,15,3,7,6,74012553
201611,40072,22,3,28,22,81814965
201611,40058,10,4,55,14,492310092
201611,40012,4,3,11,3,63196557
201611,40058,15,2,159,102,432054034
201611,40012,6,1,1265,919,492700104
201611,40058,13,4,6,4,89397743
201611,40147,30,3,1,1,38034370
201611,5,25,2,7244,2695,7819221443
201611,40058,11,3,31,16,84029626
201611,40145,19,2,107,91,551048359
201611,40154,21,1,1,1,5939916
201611,40113,10,1,35,32,31297840
201611,40113,8,3,5,4,23222055
201611,40113,6,2,8,7,31337995
201611,40036,4,1,58,50,4374405
201611,40145,8,4,1,1,50011561
201611,40002,20,3,7,5,16745547
201611,40145,9,3,6,5,28215423
201611,40113,7,1,105,92,96345880
201611,40062,2,4,26,3,154565746
201611,40154,20,2,1,1,2040978
201611,40072,2,3,115,44,106225961
201611,40113,5,3,5,4,13411485
201611,40036,30,4,41,11,671822622
201611,40147,18,1,10011,3343,108512499
201611,40044,25,4,39,20,5046071450
201611,5,6,1,3721,1937,1686211503
201611,40030,26,2,357,116,337015676
201611,40154,18,4,1,1,15039504
